धातुः	मूलधातुः	धात्वर्थः	गणः	कर्मकत्वं	इट्त्वं	उपग्रहः	रूपम्	अनुबन्धादिविशेषः	टिप्पणिः
पुण्ट्	पुटि	भाषायाम्	चुरादिः	सकर्मकः	सेट्	उभयपदी	पुण्टयति-ते		
पुट्ट्	पुट्ट	अल्पीभावे	चुरादिः	अकर्मकः	सेट्	उभयपदी	पुट्टयति-ते		
पुड्	पुड	मर्दने	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	पोडति		
पुड्	पुड	उत्सर्गे	तुदादिः	सकर्मकः	सेट्	परस्मैपदी	पुडति	कुटादिः	
पुण्ड्	पुडि	सङ्घाते	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	पुण्डति		
पुण्	पुण	कर्मणि शुभे	तुदादिः	अकर्मकः	सेट्	परस्मैपदी	पुणति		
पुण्	पुण	सङ्घाते	चुरादिः	सकर्मकः	सेट्	उभयपदी	पोणयति-ते		
पुथ्	पुथ	भाषायाम्	चुरादिः	सकर्मकः	सेट्	उभयपदी	पोथयति-ते		
पुथ्	पुथ	हिंसायाम्	दिवादिः	सकर्मकः	सेट्	परस्मैपदी	पुथ्यति		
पुन्थ्	पुथि	हिंसा-सङ्क्लेशनयोः	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	पुन्थति		
पुर्	पुर	अग्रगमने	तुदादिः	अकर्मकः	सेट्	परस्मैपदी	पुरति		
पुर्व्	पुर्व	पूरणे	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	पूर्वति		
पुल्	पुल	महत्त्वे	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	पोलति		
पुल्	पुल	महत्त्वे	चुरादिः	सकर्मकः	सेट्	उभयपदी	पोलयति-ते		
पुष्	पुष	पुष्टौ	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	पोषति		
पुष्	पुष	पुष्टौ	दिवादिः	सकर्मकः	अनिट्	परस्मैपदी	पुष्यति		
पुष्	पुष	पुष्टौ	क्र्यादिः	सकर्मकः	सेट्	परस्मैपदी	पुष्णाति		
पुष्	पुष	धारणे	चुरादिः	सकर्मकः	सेट्	उभयपदी	पोषयति-ते		
पुष्प्	पुष्प	विकसने	दिवादिः	अकर्मकः	सेट्	परस्मैपदी	पुष्प्यति		पुष्प¦ विकाशे दि० पर० अक० सेट् । पुष्प्यति अपुष्पीत् । पुपुष्प “शरदि पुष्प्यन्ति सप्तच्छदाः” । कण्ड्वा० अपुष्प्यीत् ।
पुस्त्	पुस्त	आदर-अनादरयोः	चुरादिः	सकर्मकः	सेट्	उभयपदी	पुस्तयति-ते		
पू	पूङ्	पवने	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	पवते		
पू	पू	शोधे	दिवादिः	सकर्मकः	सेट्	आत्मनेपदी	पूयते		पू¦ शोधे दि० आत्म० सक० सेट् । पूयते अपविष्ट । पुपुवे पूत ।
पू	पू	शोधे	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	पवते		पू¦ शोधे भ्वा० आ० सक० सेट् । पवते अपविष्ट । पुपुवे पूत० पवित्रः ।
पू	पू	शोधे	क्र्यादिः	सकर्मकः	सेट्	उभयपदी	पुनाति पुनीते		पू¦ शोधे क्य्रादि० प्वा० उभ० सक० सेट् । पुनाति पुनीते अपावीत् अपविष्ट पुपाव पुपुवे । आर्षे क्वचित् श्नाप्रत्ययस्य ह्रस्वः । “स्मरणात् पुनते पापं धारणात् पूर्वसञ्चितम्” ।
पूज्	पूज	पूजायाम्	चुरादिः	सकर्मकः	सेट्	उभयपदी	पूजयति-ते		
पूय्	पूयी	विशरणे/ दुर्गन्धे च	भ्वादिः	अकर्मकः	सेट्	आत्मनेपदी	पूयते		
पूर्	पूरी	आप्यायने	चुरादिः	सकर्मकः	सेट्	उभयपदी	पूरयति-ते		
पूर्ण्	पूर्ण	सङ्घाते	चुरादिः	सकर्मकः	सेट्	उभयपदी	पूर्णयति-ते		
पूल्	पूल	सङ्घाते	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	पूलति		
पूष्	पूष	वृद्धौ	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	पूषति		
पृ		पालन-पूरणयोः	जुहोत्यादिः	सकर्मकः	अनिट्	परस्मैपदी	पिपर्ति	ऋकारान्तः	
पृ		प्रीतौ	स्वादिः	सकर्मकः	अनिट्	परस्मैपदी	पृणोति	ऋकारान्तः	
पृ	पृङ्	व्यायामे	तुदादिः	अकर्मकः	अनिट्	आत्मनेपदी	(व्या)प्रियते	ऋकारान्तः	
पृच्	पृच	संयमने	चुरादिः	सकर्मकः	सेट्	उभयपदी	पर्चयति-ते	आधृषीयः	
पृच्	पृची	सम्पर्चने	अदादिः	सकर्मकः	सेट्	आत्मनेपदी	पृक्ते		
पृच्	पृची	सम्पर्चने	रुधादिः	सकर्मकः	सेट्	परस्मैपदी	पृणक्ति		
पृञ्ज्	पृजि	सम्पर्चने	अदादिः	सकर्मकः	सेट्	आत्मनेपदी	पृङ्क्ते		
पृड्	पृड	सुखने	तुदादिः	सकर्मकः	सेट्	परस्मैपदी	पृडति		
पृण्	पृण	प्रीणने	तुदादिः	सकर्मकः	सेट्	परस्मैपदी	पृणति		
पृथ्	पृथ	प्रक्षेपे	चुरादिः	सकर्मकः	सेट्	उभयपदी	पर्थयति-ते		
पृष्	पृषु	सेचन-हिंसा-क्लेशनेषु	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	पर्षति		
पॄ		पालन-पूरणयोः	जुहोत्यादिः	सकर्मकः	सेट्	परस्मैपदी	पिपर्ति		
पॄ		पालन-पूरणयोः	क्र्यादिः	सकर्मकः	सेट्	परस्मैपदी	पृणाति	प्वादिः ल्वादिः च	
पॄ		पूरणे	चुरादिः	सकर्मकः	सेट्	उभयपदी	पारयति-ते		
पेण्	पेणृ	गति-प्रेरण-श्लेषणेषु	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	पेणति		पेण, ऋ पेषे । गतौ । श्लेषे । इति कविकल्पद्रुमः ॥ (भ्वा०-पर०-सक०-श्लेषे अक०-सेट् ।) ऋ, अपिपेणत् । पिपेणतुः । इति दुर्गादासः ॥
पेल्	पेलृ	गतौ	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	पेलति		
पेव्	पेवृ	सेवने	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	पेवते		
पेष्	पेषृ	गतौ	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	पेषते		
पेस्	पेसृ	गतौ	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	पेसति		
पै		शोषणे 	भ्वादिः	सकर्मकः	अनिट्	परस्मैपदी	पायति	ऐकारान्तः	
पैण्	पैणृ	गति-प्रेरण-श्लेषणेषु	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	पैणति		
प्याय्	ओप्यायी	वृद्धौ	भ्वादिः	अकर्मकः	सेट्	आत्मनेपदी	प्यायते	ओदित्/ ईदिच्च	प्यै, ङ वृद्धौ । इति कविकल्पद्रुमः ॥ (भ्वा०-आत्म०-अक०-अनिट् ।) अन्तःस्थाद्ययुक्तः । ङ, प्यायते । इति दुर्गादासः ॥
प्यै	प्यैङ्	वृद्धौ	भ्वादिः	अकर्मकः	अनिट्	आत्मनेपदी	प्यायते		
पृच्छ्	प्रच्छ	ज्ञीप्सायाम्	तुदादिः	द्विकर्मकः	अनिट्	परस्मैपदी	पृच्छति		
प्रथ्	प्रथ	प्रख्याने	भ्वादिः	अकर्मकः	सेट्	आत्मनेपदी	प्रथते	घटादिः/ षित्	प्रथ, क प्रक्षेपे । ख्यातौ । इति कविकल्पद्रुमः ॥ (चुरा०-पर०-सक०-अक०-च सेट् ।) रेफयुक्तः । क, प्राथयति । इति दुर्गादासः ॥
प्रथ्	प्रथ	प्रख्याने	चुरादिः	सकर्मकः	सेट्	उभयपदी	प्रथयति-ते		प्रथ, म ष ङ ख्यातौ । इति कविकल्पद्रुमः ॥ (भ्वा०-आत्म०-अक०-सेट् ।) रेफयुक्तः । म, प्रथ-यति । ष, प्रथा । ङ, प्रथते गुणी प्रसिद्धः स्यादित्यर्थः । इति दुर्गादासः ॥
प्रस्	प्रस	विस्तारे	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	प्रसते	घटादिः/ षित्	
प्रा		पूरणे	अदादिः	सकर्मकः	अनिट्	परस्मैपदी	प्राति	आकारान्तः	
प्री	प्रीङ्	प्रीतौ	दिवादिः	अकर्मकः	अनिट्	आत्मनेपदी	प्रीयते	ईकारान्तः	
प्री	प्रीञ्	तर्पणे/ कान्तौ च	क्र्यादिः	सकर्मकः	अनिट्	उभयपदी	प्रीणाति-प्रीणीते	इकारान्तः	
प्री	प्रीञ्	तर्पणे/ कान्तौ च	चुरादिः	सकर्मकः	सेट्	उभयपदी	प्रीणयति-ते	आधृषीयः/ ईकारान्तः	
प्रु	प्रुङ्	गतौ	भ्वादिः	सकर्मकः	अनिट्	आत्मनेपदी	प्रवते		
प्रुड्	प्रुड	मर्दने	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	प्रोडति		
प्रुष्	प्रुष	स्नेहन-सेवन-पूरणेषु	क्र्यादिः	सकर्मकः	सेट्	परस्मैपदी	प्रुष्णाति		
प्रुष्	प्रुषु	दाहे	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	प्रोषति		
प्रेष्	प्रेषृ	गतौ	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	प्रेषते		
प्रैणे	प्रैणृ	गति-प्रेरण-श्लेषणेषु	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	प्रैणति		
प्रोथ्	प्रोथृ	पर्याप्तौ	भ्वादिः	अकर्मकः	सेट्	उभयपदी	प्रोथति-ते		
प्लिह्	प्लिह	गतौ	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	प्लेहते		
प्ली		गतौ	क्र्यादिः	सकर्मकः	अनिट्	परस्मैपदी	प्लिनाति	प्वादिः ल्वादिः च	
प्लु	प्लुङ्	गतौ/ जलोपरिसर्पणे च	भ्वादिः	सकर्मकः	अनिट्	आत्मनेपदी	प्लवते		
प्लुष्	प्लुष	दाहे	दिवादिः	सकर्मकः	सेट्	परस्मैपदी	प्लुष्यति	पुषादिः	
प्लुष्	प्लुष	दाहे	दिवादिः	सकर्मकः	सेट्	परस्मैपदी	प्लुष्यति	पुषादिभिन्नः	
प्लुष्	प्लुष	दाहे	क्र्यादिः	सकर्मकः	सेट्	परस्मैपदी	प्लुष्णाति		
प्लुष्	प्लुषु	दाहे	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	प्लोषति	उदित्	
प्सा		रक्षण-भक्षणयोः	अदादिः	सकर्मकः	अनिट्	परस्मैपदी	प्साति	आकारान्तः	
फक्क्	फक्क	नीचैर्गतौ	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	फक्कति		
फण्	फण	गतौ	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	फणति	फणादिः/ घटादिः च	
फर्व्	फर्व	पूरणे	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	फर्वति		
फल्	फल	निष्पत्तौ	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	फलति		
फल्	ञिफला	विशरणे	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	फलति		
फुल्	फुल	सञ्चरणे	तुदादिः	अकर्मकः	सेट्	परस्मैपदी	फुलति	कुटादिः	
फुल्ल्	फुल्ल	विकसने	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	फुल्लति		
फेल्	फेलृ	गतौ	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	फेलति		
बण्	बण	शब्दे	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	बणति		
बद्	बद	स्थैर्ये	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	बदति		
बध्	बध	बन्धने	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	बीभत्सते		
बध्	बध	संयमने	चुरादिः	सकर्मकः	सेट्	उभयपदी	बाधयति-ते		
बन्ध्	बन्ध	बन्धने	क्र्यादिः	सकर्मकः	अनिट्	परस्मैपदी	बध्नाति		
बन्ध्	बध	संयमने	चुरादिः	सकर्मकः	सेट्	उभयपदी	बन्धयति-ते	छान्दसः	
बर्ब्	बर्ब	गतौ	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	बर्बति		
बर्ह्	बर्ह	प्राधान्य-परिभाषण-हिंसा-प्रसादेषु	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	बर्हते		
बर्ह्	बर्ह	हिंसायाम्/ भाषायाम् च	चुरादिः	सकर्मकः	सेट्	उभयपदी	बर्हयति-ते		
बल्	बल	प्राणने/ धान्यावरोधे च	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	बलति		
बल्	बल	प्राणने 	चुरादिः	सकर्मकः	सेट्	उभयपदी	बलयति-ते	ज्ञपादित्वात् मित्	
बल्ह्	बल्ह	प्राधान्य-परिभाषण-हिंसा-प्रसादेषु	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	बल्हते		
बल्ह्	बल्ह	भाषायाम्	चुरादिः	सकर्मकः	सेट्	उभयपदी	बल्हयति-ते		
बष्क्	बष्क	दर्शने	चुरादिः	सकर्मकः	सेट्	उभयपदी	बष्कयति-ते		
बस्	बसु	स्तम्भे	दिवादिः	अकर्मकः	सेट्	परस्मैपदी	बस्यति	पुषादिः	
बंह्	बहि	वृद्धौ	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	बंहते		
बाड्	बाडृ	आप्लाव्ये	भ्वादिः	अकर्मकः	सेट्	आत्मनेपदी	बाडते		
बाध्	बाधृ	लोडने	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	बाधते		
बाह्	बाहृ	प्रयत्ने	भ्वादिः	अकर्मकः	सेट्	आत्मनेपदी	बाहते		
बिट्	बिट	आक्रोशे	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	बेटति		
बिन्द्	बिदि	अवयवे	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	बिन्दति		
बिल्	बिल	भेदने	तुदादिः	सकर्मकः	सेट्	परस्मैपदी	बिलति		
बिस्	बिस	क्षेपे	दिवादिः	सकर्मकः	सेट्	परस्मैपदी	बिस्यति	पुषादिः	
बुक्क्	बुक्क	भषणे	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	बुक्कति		
बुक्क्	बुक्क	भषणे	चुरादिः	सकर्मकः	सेट्	उभयपदी	बुक्कयति-ते		
बुङ्ग्	बुगि	वर्जने	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	बुङ्गति		
बुध्	बुध	बोधने	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	बोधति		
बुध्	बुध	अवगमने	दिवादिः	सकर्मकः	अनिट्	आत्मनेपदी	बुद्ध्यते		
बुध्	बुधिर्	बोधने	भ्वादिः	सकर्मकः	सेट्	उभयपदी	बोधति-ते	इरित्	
बुन्द्	उबुन्दिर्	निशामने	भ्वादिः	सकर्मकः	सेट्	उभयपदी	बुन्दति-ते	इरित्	
बुस्	बुस	उत्सर्गे	दिवादिः	सकर्मकः	सेट्	परस्मैपदी	बुस्यति	पुषादिः	
बुस्त्	बुस्त	आदर-अनादरयोः	चुरादिः	सकर्मकः	सेट्	उभयपदी	बुस्तयति-ते		
बृह्	बृह	वृद्धौ	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	बर्हति		वृह, वृद्धौ । इति कविकल्पद्रुमः ॥ (भ्वा०-पर०- अक०-सेट् ।) वर्हति । वृहिर्ध्वनर्द्ध्योरित्यने- नैवेष्टसिद्धेऽस्य पाठो वृद्धौ इरनुबन्धवर्ज्जनार्थः । किन्तु अनेनैवेष्टसिद्धे तत्र ऋद्धि ग्रहणं परत्रा- नुवृत्त्यर्थमेव । अयं धातुः कैश्चिन्य मन्यते । इति दुर्गादासः ॥
बृंह्	बृहि	वृद्धौ	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	बृंहति		वृह, इ कि त्विषि । इति कविकल्पद्रुमः ॥ (चुरा०- पक्षे भ्वा०-पर०-अक०-सेट् ।) सप्तमस्वरी । इ, वृंह्यते । कि, वृंहयति वृंहति । इति दुर्गादासः ॥
बृंह्	बृहि	भाषायाम्	चुरादिः	सकर्मकः	सेट्	उभयपदी	बृंहयति-ते		वृह, इ ङ वृद्धौ । इति कविकल्पद्रुमः ॥ (भ्वा०- आत्म०-अक०-सेट् ।) इ, वृंह्यते । ङ, वृंहते । इति दुर्गादासः ॥
बृह्	बृहिर्	ध्वने	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	बर्हति		वृह, इ ध्वने । ऋद्धौ । सप्तमस्वरी ॥ (भ्वा०-पर०- अक०-सेट् ।) इ, वृंह्यते । ववृंहिरे गजपतयः । इति माघः ॥ आत्मनेपदं प्रमादादिति वल्लभः ॥ ध्वनश्चेति हस्तिकर्त्तृकः । वृंहितं करिगर्जित- मित्यमरसिंहात् । वृंहितं करिगर्जायां शब्द- मात्रेऽपि कथ्यते । इति शब्दमहार्णवात् । कदाचिदन्यकर्त्तृकोऽपि । तेन श्रीहर्षचरिते सिंहवृंहितमिति बाणभट्टप्रयोगः । इति दुर्गा- दासः ॥
बृह्	बृहू	उद्यमने	तुदादिः	सकर्मकः	वेट्	परस्मैपदी	बृहति		वृह, श ऊ उद्यमे । इति कविकल्पद्रुमः ॥ (तुदा०- पर०-अक०-वेट् ।) श, वृहति । ऊ, अवर्हीत् । अवृक्षत् । इति दुर्गादासः ॥
बेह्	बेहृ	प्रयत्ने	भ्वादिः	अकर्मकः	सेट्	आत्मनेपदी	बेहते		
ब्युस्	ब्युस	विभागे	दिवादिः	सकर्मकः	सेट्	परस्मैपदी	ब्युस्यति		
ब्रुड्	ब्रुड	संवरणे	तुदादिः	सकर्मकः	सेट्	परस्मैपदी	ब्रुडति	कुटादिः	
ब्रू	ब्रूञ्	व्यक्तायां वाचि	अदादिः	द्विकर्मकः	सेट्	उभयपदी	ब्रवीति/ आह/ ब्रूते		
ब्रूस्	ब्रूस	हिंसायाम्	चुरादिः	सकर्मकः	सेट्	उभयपदी	ब्रूसयति-ते		
भक्ष्	भक्ष	अदने	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	भक्षति		
भक्ष्	भक्ष	अदने	चुरादिः	सकर्मकः	सेट्	उभयपदी	भक्षयति-ते		
भज्	भज	सेवायाम्	भ्वादिः	सकर्मकः	अनिट्	उभयपदी	भजति-ते		
भज्	भज	विश्राणने(दाने)	चुरादिः	सकर्मकः	सेट्	उभयपदी	भाजयति-ते		
भञ्ज्	भजि	भाषायाम्	चुरादिः	सकर्मकः	सेट्	उभयपदी	भञ्जयति-ते		
भञ्ज्	भञ्जो	आमर्दने	रुधादिः	सकर्मकः	अनिट्	परस्मैपदी	भनक्ति	ओदित् 	
भट्	भट	भृतौ	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	भटति		
भट्	भट	परिभाषणे (परिहासः/ सनिन्दोपालम्भश्च)	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	भटति/ भटयति-ते	मित्	
भण्ड्	भडि	परिभाषणे (परिहासः/ सनिन्दोपालम्भश्च)	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	भण्डते		
भण्	भण	शब्दे	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	भणति		
भन्द्	भदि	कल्याणे सुखे च	भ्वादिः	अकर्मकः	सेट्	आत्मनेपदी	भन्दते		
भर्त्स्	भर्त्स	तर्जने	चुरादिः	सकर्मकः	सेट्	आत्मनेपदी	भर्त्सयते	आकुस्मीयः	
भर्व्	भर्व	हिंसायाम्	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	भर्वति		
भल्	भल	परिभाषण-हिंसा-दानेषु	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	भलते		
भल्	भल	आभण्डने	चुरादिः	सकर्मकः	सेट्	उभयपदी	भालयति-ते		
भल्ल्	भल्ल	परिभाषण-हिंसा-दानेषु	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	भल्लते		
भष्	भष	भर्त्सने (श्वरवे)	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	भषति		
भस्	भस	भर्त्सन-दीप्त्योः	जुहोत्यादिः	भर्त्सने सकर्मकः/ दीप्तौ अकर्मकः	सेट्	परस्मैपदी	बभस्ति	छान्दसः	
भा		दीप्तौ	अदादिः	अकर्मकः	अनिट्	परस्मैपदी	भाति		
भाज्	भाज	पृथक्करणे	चुरादिः	सकर्मकः	सेट्	उभयपदी	भाजयति-ते	अदन्तः	
भाम्	भाम	क्रोधे	भ्वादिः	अकर्मकः	सेट्	आत्मनेपदी	भामते		
भाम्	भाम	क्रोधे	चुरादिः	अकर्मकः	सेट्	उभयपदी	भामयति-ते	अदन्तः	
भाष्	भाष	व्यक्तायां वाचि	भ्वादिः	द्विकर्मकः	सेट्	आत्मनेपदी	भाषते		
भास्	भासृ	दीप्तौ	भ्वादिः	अकर्मकः	सेट्	आत्मनेपदी	भासते		
भिक्ष्	भिक्ष	भिक्षायाम्	भ्वादिः	द्विकर्मकः	सेट्	आत्मनेपदी	भिक्षते		
भिन्द्	भिदि	अवयवे	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	भिन्दति		
भिद्	भिदिर्	विदारणे	रुधादिः	सकर्मकः	अनिट्	उभयपदी	भिनत्ति-भिन्ते	इदित्	
भिषज्		चिकित्सायाम्	कण्ड्वादिः				भिषज्यति		
भी	ञिभी	भये	जुहोत्यादिः	अकर्मकः	अनिट्	परस्मैपदी	बिभेति	ईकारान्तः/ ञीत्	
भुज्	भुज	पालन-अभ्यवहारयोः	रुधादिः	सकर्मकः	अनिट्	परस्मैपदी	भुनक्ति		
भुज्	भुजो	कौटिल्ये	तुदादिः	अकर्मकः	अनिट्	परस्मैपदी	भुजति	ओदित्	
भुरण		धारण-पोषणयोः	कण्ड्वादिः				भुरण्यति		
भुव्	भुव	अवकल्कने (मिश्रीकरणं/ चिन्तनं वा)	चुरादिः	सकर्मकः	सेट्	उभयपदी	भावयति-ते		
भू	भू	सत्तायाम्	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	भवति		
भू	भू	प्राप्तौ	चुरादिः	सकर्मकः	सेट्	आत्मनेपदी	भावयते/ भवति-ते	आधृषीयः	
भूष्	भूष	अलङ्कारे	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	भूषति		
भूष्	भूष	अलङ्करणे	चुरादिः	सकर्मकः	सेट्	उभयपदी	भूषयति-ते		
भृज्	भृजी	भर्जने	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	भर्जते		
भृ 	भृञ्	भरणे	भ्वादिः	सकर्मकः	अनिट्	उभयपदी	भरति-ते		
भृ	डुभृञ्	धारण-पोषणयोः	जुहोत्यादिः	सकर्मकः	अनिट्	उभयपदी	बिभर्ति-बिभृते	ञित्-ड्वित् च	
भृड्	भृड	निमज्जने	तुदादिः	अकर्मकः	सेट्	परस्मैपदी	भृडति	कुटादिः	
भृंश्	भृशि	भाषायाम्	चुरादिः	सकर्मकः	सेट्	उभयपदी	भृंशयति-ते		
भृश्	भृशु	अधःपतने 	दिवादिः	अकर्मकः	सेट्	परस्मैपदी	भृश्यति	पुषादिः	
भॄ		भर्त्सने (भरण इत्येके/ वयोहानौ इत्यपरे)	क्र्यादिः	सकर्मकः	सेट्	परस्मैपदी	भृणाति	प्वादिः ल्वादिः च	
भेष्	भेषृ	भये	भ्वादिः	अकर्मकः	सेट्	उभयपदी	भेषति-ते		
भ्यस्	भ्यस	भये	भ्वादिः	अकर्मकः	सेट्	आत्मनेपदी	भ्यसते		
भ्रंश्	भ्रंशु	अवस्रंसने	भ्वादिः	अकर्मकः	सेट्	आत्मनेपदी	भ्रंशते	द्युतादिः	
भ्रंस्	भ्रंसु	अवस्रंसने	दिवादिः	अकर्मकः	सेट्	परस्मैपदी	भ्रश्यति	पुषादिः	
भ्रंस्	भ्रंसु	अवस्रंसने	भ्वादिः	अकर्मकः	सेट्	आत्मनेपदी	भ्रंसते		
भ्रक्ष्	भ्रक्ष	अदने	भ्वादिः	सकर्मकः	सेट्	उभयपदी	भ्रक्षति-ते		
भ्रण्	भ्रण	शब्दे	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	भ्रणति		
भ्रम्	भ्रमु	चलने	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	भ्रमति-भ्रम्यति	उदित्	
भ्रम्	भ्रमु	अनवस्थाने	दिवादिः	अकर्मकः	सेट्	परस्मैपदी	भ्राम्यति-भ्रमति	उदित्	
भ्रश्	भ्रशु	अवस्रंसने	दिवादिः	अकर्मकः	सेट्	परस्मैपदी	भ्रश्यति		
भ्रस्ज्	भ्रस्ज	पाके	तुदादिः	सकर्मकः	अनिट्	उभयपदी	भृज्जति-ते		
भ्राज्	भ्राजृ	दीप्तौ	भ्वादिः	अकर्मकः	सेट्	आत्मनेपदी	भ्राजते		
भ्राज्	टुभ्राजृ	दीप्तौ	भ्वादिः	अकर्मकः	सेट्	आत्मनेपदी	भ्राजते	ऋकारान्तः ट्वित्/ फणादिः	
भ्राश्	टुभ्राश्	दीप्तौ	भ्वादिः	अकर्मकः	सेट्	आत्मनेपदी	भ्राश्यते-भ्राशते	फणादिः	
भ्री		भये (भरण इत्येके)	क्र्यादिः	अकर्मकः	अनिट्	परस्मैपदी	भ्रिणाति	प्वादिः	
भ्रूण्	भ्रूण	आशा-विशङ्कनयोः	चुरादिः	सकर्मकः	सेट्	आत्मनेपदी	भ्रूणयते	आकुस्मीयः	
भ्रेज्	भ्रेजृ	दीप्तौ	भ्वादिः	अकर्मकः	सेट्	आत्मनेपदी	भ्रेजते		
भ्रेष्	भ्रेषृ	भये/ गतौ च	भ्वादिः	अकर्मकः	सेट्	उभयपदी	भ्रेषति-ते		
भ्लक्ष्	भ्लक्ष	अदने	भ्वादिः	सकर्मकः	सेट्	उभयपदी	भ्लक्षति-ते		
भ्लाश्	टुभ्लाशृ	दीप्तौ	भ्वादिः	अकर्मकः	सेट्	आत्मनेपदी	भ्लाश्यते-भ्लाशते	फणादिः	
भ्लेष्	भ्लेषृ	गतौ	भ्वादिः	सकर्मकः	सेट्	उभयपदी	भ्लेशति-ते		
मङ्क्	मकि	मण्डने	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	मङ्कते		
मख्	मख	गतौ	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	मखति		
मङ्ख्	मखि	गतौ	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	मङ्खति		
मगध		परिवेष्टने (नीचदास्य इत्येके)	कण्ड्वादिः				मगध्यति		
मङ्ग्	मगि	गतौ	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	मङ्गति		
मङ्घ्	मघि	गत्याक्षेपे/ कैतवे च	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	मङ्घते		
मङ्घ्	मघि	मण्डने	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	मङ्घति		
मच्	मच	दम्भे	भ्वादिः	अकर्मकः	सेट्	आत्मनेपदी	मचते		
मञ्च्	मचि	धारण-उच्छ्राय-पूजनेषु	भ्वादिः	सकर्मकः	सेट्	आत्मनेपदी	मञ्चते		
मज्	मज	मदने/ शब्दे च	भ्वादिः	सकर्मकः	सेट्	परस्मैपदी	मजति-ते		
मञ्ज्	मजि	शब्दे	भ्वादिः	अकर्मकः	सेट्	परस्मैपदी	मञ्जति		
