dhaatva~NkaH	dhaatunaama	saMskRRitabhaaShaarthaH	Meaning	hindii bhaaShaartha	gaNaH (padaH)	dhaatuH	laT (pra eka)	laT (pra bahu)	lRRi (pra eka)	luT (pra eka)	shatranta-shaanajanta	tvaa-pratyaya
156	tarja	bhartsane	To blame	doSha denaa	bhvaadi (pa)	tarj	tarjati	tarjanti	tarjiShyati	tarjitaa	tarjat	tarjitvaa
157	laaja	bharjane ca| cakaaraad bhartsane	"To blame, to fry"	"doSha denaa, chhoMka lagaanaa"	bhvaadi (pa)	laaj	laajati	laajanti	laajiShyati	laajitaa	laajat	laajitvaa
158	laaju	bharjane ca| cakaaraad bhartsane	"To blame, to fry"	"doSha denaa, chhoMka lagaanaa"	bhvaadi (pa)	laa~nj	laa~njati	laa~njanti	laa~njiShyati	laa~njitaa	laa~njat	laa~njitvaa
159	jaja	yuddhe	To fight	yuddha karanaa	bhvaadi (pa)	jaj	jajati	jajanti	jajiShyanti	jajitaa	jajat	jajitvaa
160	jaju	yuddhe	To fight	yuddha karanaa	bhvaadi (pa)	ja~nj	ja~njati	ja~njanti	ja~njiShyanti	ja~njitaa	ja~njat	ja~njitvaa
161	tuja	hiMsaayaam	To kill	hiMsaa karanaa	bhvaadi (pa)	tuj	tojati	tojanti	tojiShyati	tojitaa	tojat	tojitvaa
162	tuju	"balane ca, cakaaraaMddhiMsaayaam"	"To kill, to breathe"	"hiMsaa karanaa, shvaasa lenaa"	bhvaadi (pa)	tu~nj	tu~njati	tu~njanti	tu~njiShyati	tu~njitvaa	tu~njat	tu~njitvaa
163	garja	shabde	To sound	shabda karanaa	bhvaadi (pa)	garj	garjati	garjanti	garjiShyanti	garjitaa	garjat	garjitvaa
164	gaju	shabde	To sound	shabda karanaa	bhvaadi (pa)	ga~nj	ga~njati	ga~njanti	ga~njiShyanti	ga~njitaa	ga~njat	ga~njitvaa
165	gRRija	shabde	To sound	shabda karanaa	bhvaadi (pa)	gRRij	garjati	garjanti	garjiShyanti	garjitaa	garjat	garjitvaa
166	gRRiju	shabde	To sound	shabda karanaa	bhvaadi (pa)	gRRi~nj	ga~njati	ga~njanti	ga~njiShyanti	ga~njitaa	ga~njat	ga~njitvaa
167	muja	shabde	To sound	shabda karanaa	bhvaadi (pa)	muj	mojati	mojanti	mojiShyanti	mojitaa	mojat	garjitvaa
168	muju	shabde	To sound	shabda karanaa	bhvaadi (pa)	mu~nj	mu~njati	mu~njanti	mu~njiShyanti	mu~njitaa	mu~njat	mu~njitvaa
168.2	mRRija	shabde	To sound	shabda karanaa	bhvaadi (pa)	mRRij	marjati	marjanti	marjiShyanti	marjitaa	marjat	marjitvaa
169	mRRiju	shabde	To sound	shabda karanaa	bhvaadi (pa)	mRRi~nj	mu~njati	mu~njanti	mu~njiShyanti	mu~njitaa	mu~njat	mu~njitvaa
170	maja	shabde	To sound	shabda karanaa	bhvaadi (pa)	maj	marjati	marjanti	marjiShyanti	marjitaa	marjat	marjitvaa
171	gaja	madaneva| cakaaraacchhabde|	"To sound, to be intoxicated"	"shabda karanaa, madonmatta honaa"	bhvaadi (pa)	gaj	gajati	gajanti	gajiShyati	gajitaa	gajat	gajitvaa
172	tyajam	hanau| haanistyaagamaH	To abandon	tyaaga karanaa	bhvaadi (pa)	tyaj	tyajati	tyajanti	tyajiShyati	tyajitaa	tyajat	tyajitvaa
173	Sha~njam	sa~Nge	To accompany	mitrataa karanaa	bhvaadi (pa)	sa~nj	sajati	sajanti	sa~Nxyati	sa~Nktaa	sajat	sa~Nktvaa
||atha Taantaa aShTaatriMshatseTashca||												
174	kaTe	varShaavaraNayoH| vRRiShTaavaavaraNe caarthe|	"To cover, to rain"	"Dha.Nkanaa, barasanaa"	bhvaadi (pa)	kaT	kaTati	kaTanti	kaTiShyati	kaTitaa	kaTat	kaTitvaa
175	ShaTa	rujaavisharaNagatyavashaa taneShu| caturShvartheShu|	"To be sick, to disunite"	"rogii honaa, saDa jaanaa, patalaa honaa"	bhvaadi (pa)	shaT	shaTati	shaTanti	shaTiShyati	shaTitaa	shaTat	shaTitvaa
176	vaTa	veShTane	To surround	lapeTanaa	bhvaadi (pa)	vaT	vaTati	vaTanti	vaTiShyati	vaTitaa	vaTat	vaTitvaa
177	kiTa	uttraase| uttraaso bhyodgatirutsaahana~nca	"To fear, to give pain"	"bhaya karanaa, duHkha denaa"	bhvaadi (pa)	kiT	keTati	keTanti	keTiShyati	keTitaa	keTat	keTitvaa
178	khiT	uttraase| uttraaso bhyodgatirutsaahana~nca	"To fear, to give pain"	"bhaya karanaa, duHkha denaa"	bhvaadi (pa)	khiT	kheTati	kheTanti	kheTiShyati	kheTitaa	kheTat	kheTitvaa
179	shiT	anaadare	To despise	avahelanaa karanaa	bhvaadi (pa)	shiT	sheTati	sheTanti	sheTiShyati	sheTitaa	sheTat	sheTitvaa
180	ShiT	anaadare	To despise	avahelanaa karanaa	bhvaadi (pa)	ShiT	SheTati	SheTanti	SheTiShyati	SheTitaa	SheTat	SheTitvaa
181	jaTa	saMghaate	To combine	milaanaa	bhvaadi (pa)	jaT	jaTati	jaTanti	jatiShyati	jaTitaa	jaTat	jaTitvaa
182	jhaT	saMghaate	To combine	milaanaa	bhvaadi (pa)	jhaT	jhaTati	jhaTanti	jhaTiShyati	jhaTitaa	jhaTat	jhaTitvaa
183	piTa	shabde ce| cakaaraatsaMghaate	"To sound, to combine"	"milaanaa, shabda karanaa"	bhvaadi (pa)	piT	peTati	peTanti	peTiShyati	peTitaa	peTat	peTitvaa
184	bhaTa	bhRRitau| bhRRitirvetanaM bhraNa~nca|	"To feed, to serve"	"poShaNa karanaa, seva karanaa"	bhvaadi (pa)	bhaT	bhaTati	bhaTanti	bhaTiShyati	bhaTitaa	bhaTat	bhaTitvaa
185	taTa	ucchhaye	To rise	aage ba.Dhanaa	bhvaadi (pa)	taT	taTati	taTanti	taTiShyati	taTitaa	taTat	taTitvaa
186	khaTa	kaa~Nxe| kaa~Nxaasyaastiitya bhraaditvaadaH kaa~NxaH| kaa~NxaavishiShTo dhaatvarthaH|	To wish	icchhaa karanaa	bhvaadi (pa)	khaT	khaTati	khaTanti	khaTiShyati	khaTitaa	khaTat	khaTitvaa
187	NaTa	nRRitau	To dance	nRRitya karanaa	bhvaadi (pa)	naT	naTati	naTanti	naTiShyati	naTitaa	naTat	naTitvaa
188	haTa	diiptau	To shine	camakanaa	bhvaadi (pa)	haT	haTati	haTanti	haTiShyati	haTitaa	haTat	haTitvaa
189	ShaTa	avayave	To form a part	bhaaga karanaa	bhvaadi (pa)	saT	saTati	saTanti	saTiShyati	saTitaa	saTat	saTitvaa
190	luTa	viloTane	To wallow	loTanaa	bhvaadi (pa)	luT	loTati	loTanti	loTiShyati	loTitaa	loTat	loTitvaa
191	ciTa	praiShye| praiShyaM daasatvam|	To be slave	sevaka honaa	bhvaadi (pa)	ciT	ceTati	ceTanti	ceTiShyati	ceTitaa	ceTat	ceTitvaa
192	viTa	shabde	To sound	shabda karanaa	bhvaadi (pa)	viT	veTati	veTanti	veTiShyati	veTitaa	veTat	veTitvaa
193	heTa	vibaadhaayaam	To injure	coTa pahu.Ncaanaa	bhvaadi (pa)	heT	heTati	heTanti	heTiShyati	heTitaa	heTat	heTitvaa
194	aTa	gatau	To go	jaanaa	bhvaadi (pa)	aT	aTati	aTanti	aTiShyati	aTitaa	aTat	aTitvaa
195	paTa	gatau	To go	jaanaa	bhvaadi (pa)	paT	paTati	paTanti	paTiShyati	paTitaa	paTat	paTitvaa
196	iTa	gatau	To go	jaanaa	bhvaadi (pa)	iT	eTati	eTanti	eTiShyati	eTitaa	eTat	eTitvaa
197	kiTa	gatau	To go	jaanaa	bhvaadi (pa)	kiT	keTati	keTanti	keTiShyati	keTitaa	keTat	keTitvaa
198	kaTa	gatau	To go	jaanaa	bhvaadi (pa)	kaT	kaTati	kaTanti	kaTiShyati	kaTitaa	kaTat	kaTitvaa
199	kaTu	gatau	To go	jaanaa	bhvaadi (pa)	kaNT	kaNTati	kaNTanti	kaNTiShyati	kaNTitaa	kaNTat	kaNTitvaa
200	kaTe	gatau	To go	jaanaa	bhvaadi (pa)	kaT	kaTati	kaTanti	kaTiShyati	kaTitaa	kaTat	kaTitvaa
201	kuTu	vaikalye	To have a defect	vikalaaMga honaa	bhvaadi (pa)	kuNT	kuNTati	kuNTanti	kuNTiShyati	kuNTitaa	kuNTat	kuNTitvaa
202	muTa	pramardane	To turn forcibly	maro.Danaa	bhvaadi (pa)	muT	moTati	moTanti	moTiShyati	moTitaa	moTat	moTitvaa
203	cuTa	alpiibhaave	To become small 	chhoTaa honaa	bhvaadi (pa)	cuT	coTati	coTanti	coTiShyati	coTitaa	coTat	coTitvaa
204	cuTu	alpiibhaave	To become small 	chhoTaa honaa	bhvaadi (pa)	cuNT	cuNTati	cuNTanti	cuNTiShyati	cuNTitaa	cuNTat	kaTitvaa
205	vaTu	vibhaajane| vibhaajanaM vibhaagiikaraNam	To part	vibhaajita karanaa	bhvaadi (pa)	vaNT	vaNTati	vaNTanti	vaNTiShyati	vaNTitaa	vaNTat	vaNTitvaa
206	ruTu	steye	To steal	corii karanaa	bhvaadi (pa)	ruNT	ruNTati	ruNTanti	ruNTiShyati	ruNTitaa	ruNTat	ruNTitvaa
207	luTu	steye	To steal	corii karanaa	bhvaadi (pa)	luNT	luNTati	luNTanti	luNTiShyati	luNTitaa	luNTat	luNTitvaa
208	sphaTa	visaraNe	To break	to.Danaa	bhvaadi (pa)	sphaT	sphaTati	sphaTanti	sphaTiShyati	sphaTitaa	sphaTat	sphaTitvaa
209	sphuTRRI	visaraNe	To break	to.Danaa	bhvaadi (pa)	sphuT	sphoTati	sphoTanti	sphoTiShyati	sphoTitaa	sphoTat	sphoTitvaa
210	laTa	baalye| baalyaM baalakriyaa	To be childish	baalaceShTaa karanaa	bhvaadi (pa)	laT	laTati	laTanti	laTiShyati	laTitaa	laTat	laTitvaa
211	raTa	paribhaaShaNe	To speak	bolanaa	bhvaadi (pa)	raT	raTati	raTanti	raTiShyati	raTitaa	raTat	raTitvaa
||atha ThaantaaH saptadasha seTashca||												
212	raTha	cakaarolaTaanukarShaNaaryastena laTe rarthadvayaM siddham	To speak	bolanaa	bhvaadi (pa)	raTh	raThati	raThanti	raThiShyati	raThitaa	raThat	raThitvaa
213	paTha	vyakttaayaaM vaaci	To read	spaShTa uccaaraNa karanaa	bhvaadi (pa)	paTh	paThati	paThanti	paThiShyati	paThitaa	paThat	paThitvaa
214	vaTha	sthaulye	To be fat	moTaa honaa	bhvaadi (pa)	vaTh	vaThati	vaThanti	vaThiShyati	vaThitaa	vaThat	vaThitvaa
215	maTha	madanivaasayoshca	"To be fat, to dwell, to be proud of"	"moTaa honaa, nivaasa karanaa, garvita honaa"	bhvaadi (pa)	maTh	maThati	maThanti	maThiShyati	maThitaa	maThat	maThitvaa
216	kaTha	kRRicchhrajiivane	To live in distress	kaShTamaya jiivana bitaanaa	bhvaadi (pa)	kaTh	kaThati	kaThanti	kaThiShyati	kaThitaa	kaThat	kaThitvaa
217	haTha	balaatkaare	To be ravish	haTha karanaa	bhvaadi (pa)	haTh	haThati	haThanti	haThiShyati	haThitaa	haThat	haThitvaa
218	uTha	upaghaate	To strike 	kaShTa denaa	bhvaadi (pa)	uTh	oThati	oThanti	oThiShyati	oThitaa	oThat	oThitvaa
219	ruTha	upaghaate	To strike 	kaShTa denaa	bhvaadi (pa)	ruTh	roThati	roThanti	roThiShyati	roThitaa	roThat	roThitvaa
220	luTha	upaghaate	To strike 	kaShTa denaa	bhvaadi (pa)	luTh	loThati	loThanti	loThiShyati	loThitaa	loThat	loThitvaa
221	piTha	hiMsaasaMkleshanayoH	"To kill, to quarrel"	"maaranaa, la.Daaii karanaa"	bhvaadi (pa)	piTh	peThati	peThanti	peThiShyati	peThitaa	peThat	peThitvaa
222	shaTha	kaitave ca| cakaaraad hiMsaasaMkleshanayoH	"To deceive, to kill"	"muurkha banaanaa, maaranaa"	bhvaadi (pa)	shaTh	shaThati	shaThanti	shaThiShyati	shaThitaa	shaThat	shaThitvaa
223	shuTha	gatipratiighaate	To strike	kaShTa denaa	bhvaadi (pa)	shuTh	shoThati	shoThanti	shoThiShyati	shoThitaa	shoThat	shoThitvaa
224	kuThu	aalasye ca| cakaaraad gatipratighaate|	"To be idle, to strike"	"aalasa karanaa, maaranaa"	bhvaadi (pa)	kuNTh	kuNThati	kuNThanti	kuNThiShyati	kuNThitaa	kuNThat	kuNThitvaa
225	luThu	aalasye ca| cakaaraad gatipratighaate|	"To be idle, to strike"	"aalasa karanaa, maaranaa"	bhvaadi (pa)	luNTh	luNThati	luNThanti	luNThiShyati	luNThitaa	luNThat	luNThitvaa
226	shuThu	shoShaNe	To dry	sukhaanaa	bhvaadi (pa)	shuNTh	shuNThati	shuNThanti	shuNThiShyati	shuNThitaa	shuNThat	shuNThitvaa
227	aTha	gatau	To go	jaanaa	bhvaadi (pa)	aTh	aThati	aThanti	aThiShyati	aThitaa	aThat	aThitvaa
228	ruThu	gatau	To go	jaanaa	bhvaadi (pa)	ruNTh	ruNThati	ruNThanti	ruNThiShyati	ruNThitaa	ruNThat	ruNThitvaa
229	puDu	pramardane	To rub	raga.Danaa	bhvaadi (pa)	puND	puNDati	puNDanti	puNDiShyati	puNDitaa	puNDat	puNDitvaa
230	muDu	khaNDane ca| cakaaraatpramardane	"To cut a form, to rub"	"khaNDita karanaa, raga.Danaa"	bhvaadi (pa)	muND	muNDati	muNDanti	muNDiShyati	muNDitaa	muNDat	muNDitvaa
231	maDu	bhuuShaayaam	To decorate	shobhita karanaa	bhvaadi (pa)	maND	maNDati	maNDanti	maNDiShyati	maNDitaa	maNDat	maNDitvaa
232	gaDu	vadanaikadeshe| gaNDagatasaMhata nakriyaayaanityarthaH|	To decorate	shobhita karanaa	bhvaadi (pa)	gaND	gaNDati	gaNDanti	gaNDiShyati	gaNDitaa	gaNDat	gaNDitvaa
233	shauDRRi	garve	To be proud	garva karanaa	bhvaadi (pa)	shauD	shauDati	shauDanti	shauDiShyati	shauDitaa	shauDat	shauDitvaa
234	yauDRRi	sambandhe| sambandhaH shleShaH|	To join	jo.Danaa	bhvaadi (pa)	yauD	yauDati	yauDanti	yauDiShyati	yauDitaa	yauDat	yauDitvaa
235	meDa	unmaade	To be mad	paagala honaa	bhvaadi (pa)	meD	meDati	meDanti	meDiShyati	meDitaa	meDat	meDitvaa
236	mreDRRi	unmaade	To be mad	paagala honaa	bhvaadi (pa)	mreD	mreDati	mreDanti	mreDiShyati	mreDitaa	mreDat	mreDitvaa
237	mleDa	unmaade	To be mad	paagala honaa	bhvaadi (pa)	mleD	mleDati	mleDanti	mleDiShyati	mleDitaa	mleDat	mleDitvaa
238	loDRRi	unmaade	To be mad	paagala honaa	bhvaadi (pa)	loD	loDati	loDanti	loDiShyati	loDitaa	loDat	loDitvaa
239	lauDRRi	unmaade	To be mad	paagala honaa	bhvaadi (pa)	lauD	lauDati	lauDanti	lauDiShyati	lauDitaa	lauDat	lauDitvaa
240	roDRRi	anaadare	To dishonour	anaadara karanaa	bhvaadi (pa)	roD	roDati	roDanti	roDiShyati	roDitaa	roDat	roDitvaa
241	rauDRRi	anaadare	To dishonour	anaadara karanaa	bhvaadi (pa)	rauD	rauDati	rauDanti	rauDiShyati	rauDitaa	rauDat	rauDitvaa
242	tauDRRi	anaadare	To dishonour	anaadara karanaa	bhvaadi (pa)	tauD	tauDati	tauDanti	tauDiShyati	tauDitaa	tauDat	tauDitvaa
243	kriiDa	vihaare	To play	khelanaa	bhvaadi (pa)	kriiD	kriiDati	kriiDanti	kriiDiShyati	kriiDitaa	kriiDat	kriiDitvaa
244	tuDRRi	toDane| toDanaM daaraNam	To break	to.Danaa	bhvaadi (pa)	tuD	toDati	toDanti	toDiShyati	toDitaa	toDat	toDitvaa
245	tuuDRRi	toDane| toDanaM daaraNam	To break	to.Danaa	bhvaadi (pa)	tuuD	tuuDati	tuuDanti	tuuDiShyati	tuuDitaa	tuuDat	tuuDitvaa
246	toDRRi	toDane| toDanaM daaraNam	To break	to.Danaa	bhvaadi (pa)	toD	toDati	toDanti	toDiShyati	toDitaa	toDat	toDitvaa
247	huDRRi	gatau	To go	jaanaa	bhvaadi (pa)	huD	hoDati	hoDanti	hoDiShyati	hoDitaa	hoDat	hoDitvaa
248	huuDRRi	gatau	To go	jaanaa	bhvaadi (pa)	huuD	huuDati	huuDanti	huuDiShyati	huuDitaa	huuDat	huuDitvaa
249	hruuDRRi	gatau	To go	jaanaa	bhvaadi (pa)	hruuD	hruuDati	hruuDanti	hruuDiShyati	hruuDitaa	hruuDat	hruuDitvaa
250	hauDRRi	gatau	To go	jaanaa	bhvaadi (pa)	hauD	hauDati	hauDanti	hauDiShyati	hauDitaa	hauDat	hauDitvaa
251	khoDRRi	pratiighaate gataavityanuvRRittergativiShaye pratighaate	To be lame	laMga.Daa honaa	bhvaadi (pa)	khoD	khoDati	khoDanti	khoDiShyati	khoDitaa	khoDat	khoDitvaa
252	viDa	aakroshe|	To cry out loudly	jora se cillaanaa	bhvaadi (pa)	viD	veDati	veDanti	veDiShyati	veDitaa	veDat	veDitvaa
253	aDa	udyame	To exert	udyama karanaa	bhvaadi (pa)	aD	aDati	aDanti	aDiShyati	aDitaa	aDat	aDitvaa
254	laDa	vilaase	To play	khelanaa	bhvaadi (pa)	laD	laDati	laDanti	laDiShyati	laDitaa	laDat	laDitvaa
254-1	lala	vilaase	To play	khelanaa	bhvaadi (pa)	lal	lalati	lalanti	laliShyati	lalitaa	lalat	lalitvaa
255	kaDu	made	To be proud	garva karanaa	bhvaadi (pa)	kaND	kaNDati	kaNDanti	kaNDiShyati	kaNDitaa	kaNDat	kaNDitvaa
256	kadDa	kaarkashye	To be hard	kaThora honaa	bhvaadi (pa)	kaDD	kaDDati	kaDDanti	kaDDiShyati	kaDDitaa	kaDDat	kaDDitvaa
257	adDa	abhiyoge	To attack	aakramaNa karanaa	bhvaadi (pa)	aDD	aDDati	aDDanti	aDDiShyati	aDDitaa	aDDat	aDDitvaa
258	cudDa	haavakaraNe| haaviibhaava suucanam||	To show ones wish	haavabhaava dikhaanaa	bhvaadi (pa)	cuDD	cuDDati	cuDDanti	cuDDiShyati	cuDDitaa	cuDDat	cuDDitvaa
||atha Naantaa ekonaviMshatiH seTashca||												
259	aNa	shabde| shabdaH shabdakriyaa	To sound	shabda karanaa	bhvaadi (pa)	aN	aNati	aNanti	aNiShyati	aNitaa	aNat	aNitvaa
260	raNa	shabde| shabdaH shabdakriyaa	To sound	shabda karanaa	bhvaadi (pa)	raN	raNati	raNanti	raNiShyati	raNitaa	raNat	raNitvaa
261	vaNa	shabde| shabdaH shabdakriyaa	To sound	shabda karanaa	bhvaadi (pa)	vaN	vaNati	vaNanti	vaNiShyati	vaNitaa	vaNat	vaNitvaa
262	vraNa	shabde| shabdaH shabdakriyaa	To sound	shabda karanaa	bhvaadi (pa)	vraN	vraNati	vraNanti	vraNiShyati	vraNitaa	vraNat	vraNitvaa
263	baNa	shabde| shabdaH shabdakriyaa	To sound	shabda karanaa	bhvaadi (pa)	baN	baNati	baNanti	baNiShyati	baNitaa	baNat	baNitvaa
264	bhaNa	shabde| shabdaH shabdakriyaa	To sound	shabda karanaa	bhvaadi (pa)	bhaN	bhaNati	bhaNanti	bhaNiShyati	bhaNitaa	bhaNat	bhaNitvaa
265	bhraNa	shabde| shabdaH shabdakriyaa	To sound	shabda karanaa	bhvaadi (pa)	bhraN	bhraNati	bhraNanti	bhraNiShyati	bhraNitaa	bhraNat	bhraNitvaa
266	maNa	shabde| shabdaH shabdakriyaa	To sound	shabda karanaa	bhvaadi (pa)	maN	maNati	maNanti	maNiShyati	maNitaa	maNat	maNitvaa
267	dhaNa	shabde| shabdaH shabdakriyaa	To sound	shabda karanaa	bhvaadi (pa)	dhaN	dhaNati	dhaNanti	dhaNiShyati	dhaNitaa	dhaNat	dhaNitvaa
268	dhvaNa	shabde| shabdaH shabdakriyaa	To sound	shabda karanaa	bhvaadi (pa)	dhvaN	dhvaNati	dhvaNanti	dhvaNiShyati	dhvaNitaa	dhvaNat	dhvaNitvaa
269	dhraNa	shabde| shabdaH shabdakriyaa	To sound	shabda karanaa	bhvaadi (pa)	dhraN	dhraNati	dhraNanti	dhraNiShyati	dhraNitaa	dhraNat	dhraNitvaa
270	kaNa	shabde| shabdaH shabdakriyaa	To sound	shabda karanaa	bhvaadi (pa)	kaN	kaNati	kaNanti	kaNiShyati	kaNitaa	kaNat	kaNitvaa
271	kvaNa	shabde| shabdaH shabdakriyaa	To sound	shabda karanaa	bhvaadi (pa)	kvaN	kvaNati	kvaNanti	kvaNiShyati	kvaNitaa	kvaNat	kvaNitvaa
272	caNa	shabde| shabdaH shabdakriyaa	To sound	shabda karanaa	bhvaadi (pa)	caN	caNati	caNanti	caNiShyati	caNitaa	caNat	caNitvaa
273	oNRRi	apanayane	To remove	haTaanaa	bhvaadi (pa)	oN	oNati	oNanti	oNiShyati	oNitaa	oNat	oNitvaa
274	soNRRi	varNagatyoH	"To be redish, to go"	"laala honaa, jaanaa"	bhvaadi (pa)	shoN	shoNati	shoNanti	shoNiShyati	shoNitaa	shoNat	shoNitvaa
275	shroNRRi	saMghaate	To unite	eka honaa	bhvaadi (pa)	shroN	shroNati	shroNanti	shroNiShyati	shroNitaa	shroNat	shroNitvaa
276	sloNRRi	saMghaate	To unite	eka honaa	bhvaadi (pa)	shloN	shloNati	shloNanti	shloNiShyati	shloNitaa	shloNat	shloNitvaa
277	paiNRRi	gatipreraNashleShaNeShu	"To go, to embrace, to suggest to act"	"jaanaa, gale lagaanaa, prerita karanaa"	bhvaadi (pa)	paiN	paiNati	paiNanti	paiNiShyati	paiNitaa	paiNat	paiNitvaa
||atha taantaaH dasha seTashca||												
278	citai	saMGYaane| saMGYaanaM saMvittiH	To know	jaananaa 	bhvaadi (pa)	cit	cetati	cetanti	cetiShyati	cetitaa	cetat	cetitvaa
279	ata	saatatyagamane| saatatyogamanaM nityagatiH	To go constantly	nirantara calanaa	bhvaadi (pa)	at	atati	atanti	atiShyati	atitaa	atat	atitvaa
280	cyutRRi	aasecane| aasecanamiiShatsekaH	To sprinkle in small quanity	tho.Daa chhi.Dakanaa	bhvaadi (pa)	cyut	cyotati	cyotanti	cyotiShyati	cyotitaa	cyotat	cyotitvaa
281	cutRRi	xaraNe| xaraNaM sravaNam|	To ooze	risanaa	bhvaadi (pa)	cut	cotati	cotanti	cotiShyati	cotitaa	cotat	cotitvaa
282	scutRRi	xaraNe| xaraNaM sravaNam|	To ooze	risanaa	bhvaadi (pa)	scut	shcotati	shcotanti	shcotiShyati	shcotitaa	shcotat	shcotitvaa
283	scyutRRi	xaraNe| xaraNaM sravaNam|	To ooze	risanaa	bhvaadi (pa)	scyut	shcyotati	shcyotanti	shcyotiShyati	shcyotitaa	shcyotat	shcyotitvaa
284	jutRRi	bhaasanam	To shine	camakanaa	bhvaadi (pa)	jut	jotati	jotanti	jotiShyati	jotitaa	jotat	jotitvaa
285	atu	bandhane	To bind	baaMdhanaa	bhvaadi (pa)	ant	antati	antanti	antiShyati	antitaa	antat	antitvaa
286	kita	nivaase	To dewll	rahanaa	bhvaadi (pa)	kit	ketati	ketanti	ketiShyati	ketitaa	ketat	ketitvaa
286-1	cikita	svaarthe sani	To gain for self	svaartha ke liye paanaa	bhvaadi (pa)	cikits	cikitsati	cikitsanti	cikitsiShyati	cikitsitaa	cikitat	cikitvaa
287	RRita	dhRRiNaagatispardheShu	"To be kind, to go, to compete"	"dayaa karanaa, jaanaa, pratispardhaa karanaa"	bhvaadi (pa)	RRit-RRitiiy	RRitiiyate	RRitiiyante	RRitiiyiShyate	RRitiiyitaa	RRitiiyat	RRititvaa
288	kRRithu	hiMsaasaMkleshanayoH| hiMsaa praaNyupaghaataH| saMklesho baadhaa|	"To hurt, to kill"	coTa pahu.Ncaanaa| maaranaa	bhvaadi (pa)	kunth	kunthati	kunthanti	kunthiShyati	kunthitaa	kunthat	kunthitvaa
289	pRRithu	hiMsaasaMkleshanayoH| hiMsaa praaNyupaghaataH| saMklesho baadhaa|	"To hurt, to kill"	coTa pahu.Ncaanaa| maaranaa	bhvaadi (pa)	punth	punthati	punthanti	punthiShyati	punthitaa	punthat	punthitvaa
290	luthu	hiMsaasaMkleshanayoH| hiMsaa praaNyupaghaataH| saMklesho baadhaa|	"To hurt, to kill"	coTa pahu.Ncaanaa| maaranaa	bhvaadi (pa)	lunth	lunthati	lunthanti	lunthiShyati	lunthitaa	lunthat	lunthitvaa
291	mathu	hiMsaasaMkleshanayoH| hiMsaa praaNyupaghaataH| saMklesho baadhaa|	"To hurt, to kill"	coTa pahu.Ncaanaa| maaranaa	bhvaadi (pa)	manth	manthati	manthanti	manthiShyati	manthitaa	manthat	manthitvaa
292	manth	hiMsaasaMkleshanayoH| hiMsaa praaNyupaghaataH| saMklesho baadhaa|	"To hurt, to kill"	coTa pahu.Ncaanaa| maaranaa	bhvaadi (pa)	manth	manthati	manthanti	manthiShyati	manthitaa	manthat	manthitvaa
293	maantha	hiMsaasaMkleshanayoH| hiMsaa praaNyupaghaataH| saMklesho baadhaa|	"To hurt, to kill"	coTa pahu.Ncaanaa| maaranaa	bhvaadi (pa)	maanth	maanthati	maanthanti	maanthiShyati	maanthitaa	maanthat	maanthitvaa
||atha daantaaH ShaDviMshatiH skandRRivarjaaH seTashca||												
294	khaadRRi	bhaxaNe	To eat	khaanaa	bhvaadi (pa)	khaad	khaadati	khaadanti	khaadiShyati	khaaditaa	khaadat	khaaditvaa
295	bada	sthairye	To be firm	sthira honaa	bhvaadi (pa)	bad	badati	badanti	badiShyati	baditaa	badat	baditvaa
296	khada	hiMsaayaa~Nca| cakaaraatsthairye|	"To kill, to be firm"	"maaranaa, sthira honaa"	bhvaadi (pa)	khad	khadati	khadanti	khadiShyati	khaditaa	khadat	khaditvaa
297	gada	vyaktaayaaM vaaci	To speak distinctly	spaShTa bolanaa	bhvaadi (pa)	gad	gadati	gadanti	gadiShyati	gaditaa	gadat	gaditvaa
298	rada	vilekhane| vilekhanamutpaatanama	To carve	khodanaa	bhvaadi (pa)	rad	radati	radanti	radiShyati	raditaa	radat	raditvaa
299	Nada	avyakte shabde	To speak indistinctly	aspaShTa bolanaa	bhvaadi (pa)	nad	nadati	nadanti	nadiShyati	naditaa	nadat	naditvaa
300	bhixvidaa	avyakte shabde	To speak indistinctly	aspaShTa bolanaa	bhvaadi (pa)	xved	xvedati	xvedanti	xvediShyati	xveditaa	xvedat	xveditvaa
301	arda	gatiyaacanayoH	"To go, to beg"	"jaanaa, maaMganaa"	bhvaadi (pa)	ard	ardati	ardanti	ardiShyati	arditaa	ardat	arditvaa
302	narda	shabde	To sound	shabda karanaa	bhvaadi (pa)	nard	nardati	nardanti	nardiShyati	narditaa	nardat	narditvaa
303	Narda	shabde	To sound	shabda karanaa	bhvaadi (pa)	nard	nardati	nardanti	nardiShyati	narditaa	nardat	narditvaa
304	garda	shabde	To sound	shabda karanaa	bhvaadi (pa)	gard	gardati	gardanti	gardiShyati	garditaa	gardat	garditvaa
305	tarda	hiMsaayaam	To kill	hiMsaa karanaa	bhvaadi (pa)	tard	tardati	tardanti	tardiShyati	tarditaa	tardat	tarditvaa
306	karda	kutsite shabde	To rumble	avyakta shabda karanaa	bhvaadi (pa)	kard	kardati	kardanti	kardiShyati	karditaa	kardat	karditvaa
307	kharda	dashane| dashanamihadanda-shukakartRRikaM dantakarma|	To bite	DaMka maaranaa	bhvaadi (pa)	khard	khardati	khardanti	khardiShyati	kharditaa	khardat	kharditvaa
308	adu	bandhane	To bind	baaMdhanaa	bhvaadi (pa)	and	andati	andanti	andiShyati	anditaa	andat	anditvaa
