1.1.001|1.1.001 वृद्धिरादैच्	आ, ऐ and औ are called वृद्धि।<br><br>Terms: वृद्धि
3.4.049|3.4.049 सप्तम्यां चोपपीडरुधकर्षः	The affix णमुल् comes after the roots 1. पीड् 'to press' 2. रुद्ध् 'to obstruct' 3. कृष् 'to draw' when they are preceded by the preposition उप and when they are compounded with nouns ending with the Locative -7th case-affix.<br><br>Terms: णमुल्
3.4.050|3.4.050 समासत्तौ	(The affix णमुल् comes after a root when a word in the Locative -7th case or Instrumental -3rd case is in composition with it) and when immediate contiguity is intended i.e. 'to fall together by the ears'.<br><br>Terms: णमुल्
3.4.051|3.4.051 प्रमाणे च	The affix णमुल् comes after a root when a noun in the Instrumental -3rd case or Locative -7th case is in composition with it and when measure of length is intended.<br><br>Terms: णमुल्
3.4.052|3.4.052 अपादाने परीप्सायाम्	The affix णमुल् is added to the root when a noun in the Ablative -5th case is in composition and when 'haste' is intended.<br><br>Terms: णमुल्
3.4.053|3.4.053 द्वितीयायां च	The affix णमुल् is added to the root when a word in the Accusative -2nd case is in composition and when 'haste' is intended.<br><br>Terms: णमुल्
3.4.054|3.4.054 स्वाङ्गेऽध्रुवे	The affix णमुल् comes after a verb when a word in the Accusative -2nd case is in composition, signifying the limbs of one's own body, when the limb is such that its loss will not destroy life.<br><br>Terms: णमुल्
3.4.055|3.4.055 परिक्लिश्यमाने च	The affix णमुल् comes after a root when a word in the Accusative -2nd case denoting a limb of one's own body, which is completely afflicted by the action, is in composition.<br><br>Terms: णमुल्
3.4.056|3.4.056 विशिपतिपदिस्कन्दां व्याप्यमानासेव्यमानयोः	The affix णमुल् comes after the verbs 1. विश् 'to enter' 2. पत् 'to fall' 3. पद् 'to pace, to go' 4. स्कन्द् 'to leap', when a word in Accusative -2nd case is in composition and when the sense denoted is that of complete pervasion and total abosrption.<br><br>Terms: णमुल्
3.4.057|3.4.057 अस्यतितृषोः क्रियाऽन्तरे कालेषु	The affix णमुल् comes after the verbs 1. अस् 'to throw' 2. तृष् 'to be thirsty' when it is intended to express an intermission of the action denoted by the root, provided that a word in the Accusative -2nd case denoting time is in composition.<br><br>Terms: णमुल्
3.4.058|3.4.058 नाम्न्यादिशिग्रहोः	The affix णमुल् comes after the verbs 1. आदिश् 2. ग्रह् 'to seize' when the word नामन् 'name' in the Accusative -2nd case is in composition.<br><br>Terms: णमुल्
3.4.059|3.4.059 अव्ययेऽयथाभिप्रेताख्याने कृञः क्त्वाणमुलौ	The affixes क्तवा and णमुल् come after the root कृ 'to make' when an indeclinable word in composition with it and the meaning is the communication of anything in a disagreeable or undesired way.<br><br>Terms: क्तवा and णमुल्
3.4.060|3.4.060 तिर्यच्यपवर्गे	The affixes क्तवा and णमुल् come after the root कृ 'to make' when the word त्रियक् is in composition in the sense of 'carrying to the end'.<br><br>Terms: क्तवा and णमुल्
3.4.061|3.4.061 स्वाङ्गे तस्प्रत्यये कृभ्वोः	The affixes क्तवा and णमुल् are added to the roots कृ 'to make' and भू 'to be', in composition with a word denoting a member of one's own body when the affix तस् is joined thereto.<br><br>Terms: क्तवा and णमुल्
3.4.062|3.4.062 नाधाऽर्थप्रत्यये च्व्यर्थे	The affixes क्तवा and णमुल् are added to the roots कृ 'to make' and भू 'to be', when a word ending in the affix ना -- विनञ्भ्यां नानाञौ नसह 5.2.27, or in an affix having the force of धा -- संख्याया विधाऽर्थे धा 5.3.42, or having the sense of the affix च्वि 'to make or to become something with it had not been before' -- अभूततद्भावे कृभ्वस्तियोगे सम्पद्यकर्तरि च्विः 5.4.50, is in composition.<br><br>Terms: क्तवा and णमुल्
3.4.063|3.4.063 तूष्णीमि भुवः	The affixes क्तवा and णमुल् are added to the roots भू 'to be', when the word तूष्णीम् 'silently' is in composition.<br><br>Terms: क्तवा and णमुल्
3.4.064|3.4.064 अन्वच्यानुलोम्ये	The affixes क्तवा and णमुल् come after the root भू 'to be' when the word अन्वक् in the sense of being favourably disposed, is in composition.<br><br>Terms: क्तवा and णमुल्
3.4.065|3.4.065 शकधृषज्ञाग्लाघटरभलभक्रमसहार्हास्त्यर्थेषु तुमुन्	The affix तुमुन् is added to every verb when another verb having the sense of 1. शक् 'to be able' 2. धृष् 'to make bold' 3. ज्ञा 'to know' 4. ग्लै 'to be weary' 5. घट् 'to strive' 6. रभ् 'to begin' 7. लभ् 'to get' 8. क्रम् 'to set about' 9. सह् 'to bear' 10. अर्ह् 'to be pleased or to condescend' 11. अस् 'to be'.<br><br>Terms: तुमुन्
3.4.066|3.4.066 पर्याप्तिवचनेष्वलमर्थेषु	The affix तुमुन् comes after a verb haivng in composition with it अलम् and its synonyms when these words express to be capable of something.<br><br>Terms: तुमुन्
3.4.067|3.4.067 कर्तरि कृत्‌	The affixes calle कृत् are used in the sense of an agent.<br><br>Terms: कृत्
3.4.068|3.4.068 भव्यगेयप्रवचनीयोपस्थानीयजन्याप्लाव्यापात्या वा	The words 1. भव्य 2. गेय 3. प्रवचनीय 3. उपस्थानीय 4. जन्य 5. आप्लाव्य 6. आपात्य may be optionally be used to denote the agent.<br><br>Terms: कृत्
3.4.069|3.4.069 लः कर्मणि च भावे चाकर्मकेभ्यः.	The tense affixes called ल are used in denoting the object and the agent and after intransitive verbs, they denote the action as well as the agent.<br><br>Terms: ल
3.4.070|3.4.070 तयोरेव कृत्यक्तखलर्थाः	The affixes called कृत्य and the affix called क्त and those that have the sense of खल् have only these last two senses, viz. an action and an object (भाव and कर्म).<br><br>Terms: कृत्य and क्त
3.4.071|3.4.071 अदिकर्मणि क्तः कर्तरि च	The affix क्त also denotes the agent when it expresses a beginning of an action.<br><br>Terms: क्त
3.4.072|3.4.072 गत्यर्थाकर्मकश्लिषशीङ्स्थाऽऽसवसजनरुहजीर्यतिभ्यश्च	The affix क्त is used in denoting the agent as well as the act and the object after verbs implying motion after intransitive roots and after the verbs 1. श्लिष् 'to embrace' 2. शि 'to lie down' 3. स्था 'to stand' 4. आस् 'to sit' 5. वस् 'to dwell' 6. जन् 'to produce' 7. रुह् 'to mount' 8. जृ 'to grow old'.<br><br>Terms: क्त
3.4.073|3.4.073 दाशगोघ्नौ सम्प्रदाने	The word दाश and गोघ्न are irregularly formed and the affix in these denotes the idea of the Dative or Receipient.<br><br>Terms: Irregular
3.4.074|3.4.074 भीमादयोऽपादाने	The words भीम etc. are irregularly formed and denote ablation.<br><br>Terms: Irregular
3.4.075|3.4.075 ताभ्यामन्यत्रोणादयः	The words formed by उणादि affixes denote other ideas other than these two - 1. Reciepient 2. Ablation.<br><br>Terms: उणादि
3.4.076|3.4.076 क्तोऽधिकरणे च ध्रौव्यगतिप्रत्यवसानार्थेभ्यः	The affix क्त which is ordained after roots denoting fixedness (to cling to a place), motion and taking gives the sense of location as well.<br><br>Terms: क्त
3.4.077|3.4.077 लस्य	In the place of ल will be substituted the affixes we shall announce hereafter.<br><br>Terms: ल
3.4.078|3.4.078 तिप्तस्झिसिप्थस्थमिब्वस्मस् तातांझथासाथांध्वमिड्वहिमहिङ्	The following are the substitutes of ल - तिप् - तस् - झि - सिप् - थस् - थ - मिप् - वस् - मस् - त - आताम् - झ - थास् - आथाम् - ध्वम् - इट् - वहि - महिङ् ।<br><br>Terms: ल
3.4.079|3.4.079 टित आत्मनेपदानां टेरे	The substitute ए replaces he last vowel, with the consonant that follows it, of the आत्मनेपद substitutes of that ल which has an indicatory ट्।<br><br>Terms: ल
3.4.080|3.4.080 थासस्से	The word से is the substitute of थास् in those tenses that have an indicatory ट्।<br><br>Terms: ल-टित्
3.4.081|3.4.081 लिटस्तझयोरेशिरेच्	The words एश् and इरेच् are the substitutes of ट and झ respectively in the लिट् (Perfect Tense).<br><br>Terms: ल-टित्
3.4.082|3.4.082 परस्मैपदानां णलतुसुस्थलथुसणल्वमाः	In the room of the परस्मैपद affixes, the following are substituted in the लिट् (Perfect Tense). Singular - णल् (अ), थल् (थ), णल् (अ). Dual - अतुस् (अतुः), अथुस् (अथुः), व (व). Plural - उस् (उः) , अ (अ), म (म).<br><br>Terms: लिट्
3.4.083|3.4.083 विदो लटो वा	The above nine affixes of the लिट् (Perfect Tense) are optionally added in the लट् (Present Tense) also after the verb विद् 'to know'.<br><br>Terms: लिट् and लट्
3.4.084|3.4.084 ब्रुवः पञ्चानामादित आहो ब्रुवः	Instead of the first 5 tense-affixes in the लट् (Present Tense) coming after the verb ब्रु 'to speak' there may optionally be the affixes of the लिट् (Perfect Tense) ; आह being at the same time the substitute in the room of ब्रु 'to speak'.<br><br>Terms: लट्
3.4.085|3.4.085 लोटो लङ्वत्‌	The personal endings of the लोट् (Imperative Mood) are as those of the लङ् (Imperfect Tense).<br><br>Terms: लोट् and लङ्
3.4.086|3.4.086 एरुः	In the लोट् (Imperative Mood) उ is the substitute of इ।<br><br>Terms: लोट्
3.4.087|3.4.087 सेर्ह्यपिच्च	In the लोट् (Imperative Mood) , हि is substituted for सि and this has not the indicatory प् of सिप् , i.e. it is acutely accented.<br><br>Terms: लोट्
3.4.088|3.4.088 वा छन्दसि	In the छन्दस् (Vedas) the substitute of हि is optionally treated as not having an indicatory प्।<br><br>Terms: छन्दस्
3.4.089|3.4.089 मेर्निः	In the लोट् (Imperative Mood) नि is substituted for the affix मि।<br><br>Terms: लोट्
3.4.090|3.4.090 आमेतः	In the लोट् (Imperative Mood) आम् is substituted for what would have substituted otherwise ए by टित आत्मनेपदानां टेरे 3.4.79.<br><br>Terms: लोट्
3.4.091|3.4.091 सवाभ्यां वामौ	For such an ए coming after स् , is substituted व् and for that coming after व् , is substituted अम् , in the (Imperative Mood).<br><br>Terms: लोट्
3.4.092|3.4.092 आडुत्तमस्य पिच्च	In the लोट् (Imperative Mood) आट् is the augment of the affixes the first person and the termination is as if it had an indicatory प्।<br><br>Terms: लोट्
3.4.093|3.4.093 एत ऐ	The ऐ is substituted for ए forming part of the affixes of the first person of the लोट् (Imperative Mood).<br><br>Terms: लोट्
3.4.094|3.4.094 लेटोऽडाटौ	The augments अट् and आट् are added to the तिङ् (Personal Endings) of the लेट् (Vedic Subjunctive).<br><br>Terms: लेट्
3.4.095|3.4.095 आत ऐ	In the लेट् (Vedic Subjunctive) ऐ is the substitute of आ in the first and second person dual of the आत्मनेपद ।<br><br>Terms: लेट्
3.4.096|3.4.096 वैतोऽन्यत्र	In the लेट् (Vedic Subjunctive) ऐ is optionally the substitute of ए in other places then those mentioned in the last sūtra.<br><br>Terms: लेट्
3.4.097|3.4.097 इतश्च लोपः परस्मैपदेषु	In the परस्मैपद affixes the इ is optionally elided in the लेट् (Vedic Subjunctive).<br><br>Terms: लेट्
3.4.098|3.4.098 स उत्तमस्य	The स् of the first person is optionally elided in the लेट् (Vedic Subjunctive).<br><br>Terms: लेट्
3.4.099|3.4.099 नित्यं ङितः	There is always elision of the स् of the first person of the affixes that come in the room of that ल which has an indicatory ङ्।<br><br>Terms: ल
3.4.100|3.4.100 इतश्च	And there is elision of the इ of that परस्मैपद affix which is the substitute of a ल having an indicatory ङ्।<br><br>Terms: ल
3.4.101|3.4.101 तस्थस्थमिपां तांतंतामः	The affixes 1. ताम् 2. तम् 3. त 4. आम् are the substitutes of the four affixes तस् , थस् , थ and मिप् respectively of any ल which has an indicatory ङ् ।<br><br>Terms: ल
3.4.102|3.4.102 लिङस्सीयुट्	The तिङ् (Personal Endings) of the लिङ् (Benedictive) and the Potential take the augment स्युत् ।<br><br>Terms: लिङ्
3.4.103|3.4.103 यासुट् परस्मैपदेषूदात्तो ङिच्च	When the परस्मैपद affixes of the Potential follow, then यासुट् acutely accented, is their augment and the termination is regarded as having an indicatory ङ्।<br><br>Terms: यासुट्
3.4.104|3.4.104 किदाशिषि	The augment यासुट् comes after that लिङ् (Benedictive) also which denotes benediction and it is acutely accented and the substitutes of this लिङ् (Benedictive) are as they had an indicatory क्।<br><br>Terms: यासुट्
3.4.105|3.4.105 झस्य रन्	The affix रन् is the substitute of झ in the लिङ् (Potential and Benedictive).<br><br>Terms: रन्
3.4.106|3.4.106 इटोऽत्‌	The short अ is the substitute of इ of the आत्मनेपद first person singular in the Potential and Benedictive.<br><br>Terms: अ
3.4.107|3.4.107 सुट् तिथोः	The augment सुट् is added to the following affixes त and थ when part of the affixes of the Potential and Benedictive.<br><br>Terms: सुट्
3.4.108|3.4.108 झेर्जुस्	In the Potential and Benedictive जुस् is the substitute of झि , the ending of the first person plural परस्मैपद ।<br><br>Terms: झि
3.4.109|3.4.109 सिजभ्यस्तविदिभ्यः च	(In those tenses which are marked with an indicatory ङ् ) जुस् is the substitute of झि when it comes after an लुङ् (Aorist) in सिच् or the लङ् (Imperfect Tense) of a reduplicated verb or the root विद् 'to know'.<br><br>Terms: झि
3.4.110|3.4.110 आतः	When सिच् is elided जुस् is the substitute of झि after a लुङ् (Aorist) stem which ends in long आ।<br><br>Terms: झि
3.4.111|3.4.111 लङः शाकटायनस्यैव	In the opinion of शाकटायन only जुस् is the substitute of झि , in the लङ् (Imperfect Tense) of the roots which end in a long आ।<br><br>Terms: झि
3.4.112|3.4.112 द्विषश्च	In the opinion of शाकटायन only जुस् is the substitute of झि , in the लङ् (Imperfect Tense) after the verb द्विष् 'to hate'.<br><br>Terms: झि
3.4.113|3.4.113 तिङ्शित्सार्वधातुकम्	All the personal endings -- तिप्तस्झिसिप्थस्थमिब्वस्मस्तातांझथासाथांध्वमिड्वहिमहिङ् 3.4.78, and all affixes with an indicatory श् are called सार्वधातुक ।<br><br>Terms: सार्वधातुक
3.4.114|3.4.114 आर्द्धधातुकं शेषः	The remainder i.e. the affixes other than तिङ् (Personal Endings) and those with an indicatory श् sub-joined to a verbal root are called आर्द्धधातुक।<br><br>Terms: आर्द्धधातुक
3.4.115|3.4.115 लिट् च	The तिङ् (Personal Endings) of the लिट् (Perfect Tense) are also called आर्द्धधातुक ।<br><br>Terms: आर्द्धधातुक
3.4.116|3.4.116 लिङाशिषि	When the sense is that of Benediction, the substitutes of लिङ् (Benedictive) are called आर्द्धधातुक i.e. the तिङ् (Personal Endings) of the लिङ् (Benedictive) are आर्द्धधातुक ।<br><br>Terms: आर्द्धधातुक
3.4.117|3.4.117 छन्दस्युभयथा	In the छन्दस् (Vedas) this distinction of सार्वधातुक and आर्द्धधातुक is not always maintained and the affixes are promiscuously used.<br><br>Terms: छन्दस्
4.1.001|4.1.001 ङ्याप्प्रातिपदिकात्‌	(From this point forward up to the end of the Fifth Chapter, whatever we shall treat of, should be understood to come) after what ends with the feminine affixes ङी or आप् or after a प्रातिपदिक (Nominal Stem).<br><br>Terms: विभक्ति
4.1.002|4.1.002 स्वौजसमौट्छष्टाभ्याम्भिस्ङेभ्याम्भ्यस्ङसिभ्याम्भ्यस्ङसोसाम्ङ्योस्सुप्‌	(After what ends with the feminine teminations ङी or आप् or after a प्रातिपदिक (Nominal Stem), the following case-affixes ae used for declension) - 1st - सु (स), औ , जस् (अस्)। 2nd - अम् , औट् (औ), शस् (अस्)। 3rd - टा (आ), भ्याम् , भिस् । 4th - ङे (ए), भ्याम् , भ्यस्। 5th - ङसि (अस्), भ्याम् , भ्यस्। 6th - ङस् (अस्), ओस् , आम्। 7th - ङि (इ), ओस् , सुप् (सु)।<br><br>Terms: विभक्ति
4.1.003|4.1.003 स्त्रियाम्	When the feminine nature is to be indicated the affixes which we shall treat of hereinafter must be used.<br><br>Terms: विभक्ति
4.1.004|4.1.004 अजाद्यतष्टाप्‌	The affix टाप् is used to indicate feminine nature after the प्रातिपदिक (Nominal Stem) अज etc. and after the stems ending in short अ।<br><br>Terms: विभक्ति-F
4.1.005|4.1.005 ऋन्नेभ्यो ङीप्‌	The affix ङीप् is used in forming the feminine after प्रातिपदिक (Nominal Stem) ending in ऋ or न्।<br><br>Terms: विभक्ति-F
4.1.006|4.1.006 उगितश्च	And after what has an indicatory उक् (उ , ऋ or ऌ) the affix ङीप् is used denoting a feminine.<br><br>Terms: विभक्ति-F
4.1.007|4.1.007 वनो र च	The affix ङीप् is added, in forming the feminine to the stems that end in the syllable वन् , and र् is the substitute of the final such syllable.<br><br>Terms: विभक्ति-ङीप्
4.1.008|4.1.008 पादोऽन्यतरस्याम्	The affix ङीप् is optionally used in the feminine after a प्रातिपदिक (Nominal Stem) ending with the word पाद्।<br><br>Terms: विभक्ति-ङीप्
4.1.009|4.1.009 टाबृचि	The affix ङीप् is used in the feminine after a प्रातिपदिक (Nominal Stem) ending with the word पाद् when the word denotes a verse of the ऋग्वेद।<br><br>Terms: विभक्ति-ङीप्
4.1.010|4.1.010 न षट्स्वस्रादिभ्यः	The feminine affixes are not used after the stems called षद् -- ष्णान्ता षट् 1.1.24 and after स्वस्र etc.<br><br>Terms: विभक्ति-F
4.1.011|4.1.011 मनः	The affix ङीप् is not used after a प्रातिपदिक (Nominal Stem) ending in the syllable मन्।<br><br>Terms: विभक्ति-ङीप्
4.1.012|4.1.012 अनो बहुव्रीहेः	The affix ङीप् is not used to denote the feminine after a बहुव्रीहि समास ending in अन्।<br><br>Terms: विभक्ति-ङीप्
4.1.013|4.1.013 डाबुभाभ्यामन्यतरस्याम्‌	The affix डाप् comes optionally after both - 1. प्रातिपदिक (Nominal Stem) ending in अन् 2. बहुव्रीहि समास ।<br><br>Terms: विभक्ति-ङीप्
4.1.014|4.1.014 अनुपसर्जनात्‌	The following rules apply to a प्रातिपदिक (Nominal Stem) which is not a subordinate term in a compound.<br><br>Terms: विभक्ति-ङीप्
4.1.015|4.1.015 टिड्ढाणञ्द्वयसज्दघ्नञ्मात्रच्तयप्ठक्ठञ्कञ्क्वरपः	The affix ङीप् is added in the feminine after the प्रातिपदिक (Nominal Stems) ending in short अ , if the affix with which it ends has an indicatory ट् or if the affix be ढ or अण् or अञ् or द्वयसच् or दघ्नच् or मात्रच् or तयप् or ठक् or ठञ् or कञ् or क्वरप्।<br><br>Terms: विभक्ति-ङीप्
4.1.016|4.1.016 यञश्च	The affix ङीप् is used in denoting the feminine after a प्रातिपदिक (Nominal Stem) ending in यञ् -- गर्गादिभ्यो यञ् 4.1.105.<br><br>Terms: विभक्ति-ङीप्
4.1.017|4.1.017 प्राचां ष्फ तद्धितः	In the opinion of the Eastern Grammarians, the affix ष्फ is used after what ends with the affix यञ् and it is to be regarded as a तद्धित-affix.<br><br>Terms: विभक्ति-ङीप्
4.1.018|4.1.018 सर्वत्र लोहितादिकतान्तेभ्यः	The affix ष्फ is invariably added in the feminine after the words beginning with लोहित and ending with क्त when they take the affix यञ्।<br><br>Terms: विभक्ति-ङीप्
4.1.019|4.1.019 कौरव्यमाण्डूकाभ्यां च	The affix ष्फ is added in the feminine after the words 1. कौरव्य and 2. माण्डूक।<br><br>Terms: विभक्ति-ङीप्
4.1.020|4.1.020 वयसि प्रथमे	The affix ङीप् is used in the feminine after a प्रातिपदिक (Nominal Stem) ending in अ and denoting early age.<br><br>Terms: विभक्ति-ङीप्
4.1.021|4.1.021 द्विगोः	The affix ङीप् come in the feminine after a प्रातिपदिक (Nominal Stem) ending in अ , which is द्विगु समास (Numeral Determinative Compound). <br><br>Terms: विभक्ति-ङीप्
4.1.022|4.1.022 अपरिमाणबिस्ताचितकम्बल्येभ्यो न तद्धितलुकि	The affix ङीप् is not used when a तद्धित affix is elided after a द्विगु समास (Numeral Determinative Compound) ending in a word not denoting a mass or measure; or in 1. बिस्त 2. आचित or 3. कम्बल्य।<br><br>Terms: विभक्ति-ङीप्
4.1.023|4.1.023 काण्डान्तात्‌ क्षेत्रे	The affix ङीप् is not used after an adjectival द्विगु समास (Numeral Determinative Compound) ending with the word काण्ड where the तद्धित affix is elided when the compound means field.<br><br>Terms: विभक्ति-ङीप्
4.1.024|4.1.024 पुरुषात्‌ प्रमाणेऽन्यतरस्याम्	The affix ङीप् is not optionally used after a द्विगु समास (Numeral Determinative Compound) where the तद्धित affix is elided when the compound ends in the word पुरुष , referring to 'measure'.<br><br>Terms: विभक्ति-ङीप्
4.1.025|4.1.025 बहुव्रीहेरूधसो ङीष्।	The affix ङीप् is used in the feminine after a बहुव्रीहि समास ending in the word ऊधस् 'an udder'.<br><br>Terms: विभक्ति-ङीप्
4.1.026|4.1.026 संख्याऽव्ययादेर्ङीप्‌	The affix ङीप् comes in the feminine after a बहुव्रीहि समास ending in the word ऊधस् 'an udder', beginning with a Numeral or indeclinable.<br><br>Terms: विभक्ति-ङीप्
4.1.027|4.1.027 दामहायनान्ताच्च	The affix ङीप् comes in the feminine after a बहुव्रीहि समास beginning with a Numeral and ending with the words 1. दामन् 'a rope' and 2. हायन 'a year'.<br><br>Terms: विभक्ति-ङीप्
4.1.028|4.1.028 अन उपधालोपिनोन्यतरस्याम्	The affix ङीप् comes after that बहुव्रीहि समास which ending in the syllable अन् loses its penultimate अ।<br><br>Terms: विभक्ति-ङीप्
4.1.029|4.1.029 नित्यं संज्ञाछन्दसोः	The affix ङीप् necessarily comes in the छन्दस् (Vedas) and in forming Names after that बहुव्रीहि समास which ending in the syllable अन् loses its penultimate अ।<br><br>Terms: विभक्ति-ङीप्
4.1.030|4.1.030 केवलमामकभागधेयपापापरसमानार्यकृत-सुमङ्गलभेषजाच्च	The affix ङीप् necessarily comes denoting the feminine after the following प्रातिपदिक (Nominal Stems) when used to express a Name or in the छन्दस् (Vedas).<br><br>Terms: विभक्ति-ङीप्
4.1.031|4.1.031 रात्रेश्चाजसौ	The affix ङीप् comes after the word रात्रि in the छन्दस् (Vedas) and in denoting a Name except the affix जस् (1st - Nominative Case Plural) is added.<br><br>Terms: विभक्ति-ङीप्
4.1.032|4.1.032 अन्तर्वत्पतिवतोर्नुक्	The augment नुक् is added to the words अन्तर्वत् and पतिवत् when the affix ङीप् is added to form the feminine.<br><br>Terms: विभक्ति-ङीप्
4.1.033|4.1.033 पत्युर्नो यज्ञसंयोगे	The substitute न् replaces the final इ of पति before the feminine affix ङीप् when the word so formed means 'a wife' who takes part in the sacrifices of her husband.<br><br>Terms: विभक्ति-ङीप्
4.1.034|4.1.034 विभाषा सपूर्वस्य	In forming the feminine with the affix ङीप् , न् is optionally the substitute of the final इ of पति when the latter is preceded by another vowel.<br><br>Terms: विभक्ति-ङीप्
4.1.035|4.1.035 नित्यं सपत्न्य्आदिषु	In forming the feminine with the affix ङीप् the word पति always takes the substitute न् in the words like सपत्नि etc.<br><br>Terms: विभक्ति-ङीप्
4.1.036|4.1.036 पूतक्रतोरै च	In forming the feminine, the letter ऐ is the substitute of the final word पूतक्तु when the affix ङीप् is added.<br><br>Terms: विभक्ति-ङीप्
4.1.037|4.1.037 वृषाकप्यग्निकुसितकुसीदानामुदात्तः	In forming the feminine with the affix ङीप् the letter ऐ having उदात्त accent is the substitute of the finals 1. वृषाकपि 2. अग्नि 3. कुसति and 3. कुसीद ।<br><br>Terms: विभक्ति-ङीप्
4.1.038|4.1.038 मनोरौ वा	In forming the feminine with the affix ङीप् , औ is optionally the substitute of the final मनु (as well as the उदात्त ऐ).<br><br>Terms: विभक्ति-ङीप्
4.1.039|4.1.039 वर्णादनुदात्तात्तोपधात्तो नः	The affix ङीप् is optionally used after a प्रातिपदिक (Nominal Stem) expressive of colour ending with a gravely accented vowel and having the letter त् as its penultimate letter and the letter न् is substituted in the room of त्।<br><br>Terms: विभक्ति-ङीप्
4.1.040|4.1.040 अन्यतो ङीष्।	The affix ङीष् is used in the feminine after every other word expressive of colour and ending with an अनुदात्त accent.<br><br>Terms: विभक्ति-ङीष्
4.1.041|4.1.041 षिद्गौरादिभ्यश्च	The affix ङीष् is used in forming the feminine after the words ending with affixes which have an indicatory ष् and after the words गौर etc.<br><br>Terms: विभक्ति-ङीष्
4.1.042|4.1.042 जानपदकुण्डगोणस्थलभाजनागकालनीलकुशकामुककबराद्वृत्त्यमत्रावपनाकृत्रिमाश्राणास्थौल्यवर्णानाच्छादनायोविकारमैथुनेच्छाकेशवेशेषु	The affix ङीष् is used after the 11 words जानपद etc. in the sense of 'profession' etc. 1. जानप् 2. कुण्ड 3. गोण 4. स्थल 5. भाज 6. नाग 7. काल 8. नील 9. कुश् 10. कामुक and 11 कबर ; the affix ङीष् is employed when the sense is that of 1. 'profession or living' 2. 'a bowl' 3. 'a sack or vessel for keeping grain' 4. 'a natural spot of ground' 5. 'a cooked food or rice-gruel' 6. 'stout' 7. 'black-coloured' 8. 'blue-coloured other than cloth' 9. 'a plough-share' 10. 'a libidinous female' 11. 'a fellet or braid of hair', respectively.<br><br>Terms: विभक्ति-ङीष्
4.1.043|4.1.043 शोणात्‌ प्राचाम्	The affix ङीष् is used in the feminine according to the opinion of the Eastern Grammarians after the word शोण।<br><br>Terms: विभक्ति-ङीष्
4.1.044|4.1.044 वोतो गुणवचनात्‌	The affix ङीष् is optionally used in the feminine after a word ending in short अ and being expressive of quality.<br><br>Terms: विभक्ति-ङीष्
4.1.045|4.1.045 बह्वादिभ्यश्च	And the affix ङीष् is optionally used in the feminine after the words बहु etc.<br><br>Terms: विभक्ति-ङीष्
4.1.046|4.1.046 नित्यं छन्दसि	The affix ङीष् is always used in the छन्दस् (Vedas) in forming the feminine of the words बहु etc.<br><br>Terms: विभक्ति-ङीष्
4.1.047|4.1.047 भुवश्च	The affix ङीष् is always used in the छन्दस् (Vedas) in forming the feminine after the word भु।<br><br>Terms: विभक्ति-ङीष्
4.1.048|4.1.048 पुंयोगादाख्यायाम्	The feminine affix ङीष् comes after a word when it expresses the name of a wife in relation to her husband.<br><br>Terms: विभक्ति-ङीष्
4.1.049|4.1.049 इन्द्रवरुणभवशर्वरुद्रमृडहिमारण्ययवयवनमातुलाचार्याणामानुक्	The augment आनुक् is added to the Proper Nouns 1. इन्द्र 2. वरुण 3. भव 4. शर्व 5. रुद्र and 6. मृड and to the words 1. हिम 'snow' 3. अरण्य 'forest' 4. यव 'barely' 5. यवन 'a Yavana' 6. मातुल 'a maternal uncle' and 7. आचार्य 'a perceptor', before the feminine affix ङीष्।<br><br>Terms: विभक्ति-ङीष्
4.1.050|4.1.050 क्रीतात्‌ करणपूर्वात्‌	The affix ङीष् is used in the feminine after a compound word ending in क्रीत , the first member of the compound being the name of the means wherewith the thing is bought.<br><br>Terms: विभक्ति-ङीष्
4.1.051|4.1.051 क्तादल्पाख्यायाम्	The affix ङीष् is used after a compound प्रातिपदिक (Nominal Stem) in which a name denoting the means herewith, is the first member and the second member is a word formed by the Particle क्त when the sense is that of 'a small quantity'. <br><br>Terms: विभक्ति-ङीष्
4.1.052|4.1.052 बहुव्रीहेश्चान्तोदात्तात्‌	The affix ङीष् is used in the feminine after that बहुव्रीहि समास which ending with a word formed by the affix क्त has an acute accent on the last syllable.<br><br>Terms: विभक्ति-ङीष्
4.1.053|4.1.053 अस्वाङ्गपूर्वपदाद्वा	The affix ङीष् is optionally used in the feminine after a बहुव्रीहि समास ending with the word in क्त having acute accent on the final, the antecedent word not being a word denoting a part of the body.<br><br>Terms: विभक्ति-ङीष्
4.1.054|4.1.054 स्वाङ्गाच्चोपसर्जनादसंयोगोपधात्‌	And the feminine affix ङीष् comes optionally after what ends with the name of a part of the body when the word is a subordinate member in compound and has not a conjunct for its penultimate letter (i.e. the final अ is not preceded by a double consonant).<br><br>Terms: विभक्ति-ङीष्
4.1.055|4.1.055 नासिकोदरौष्ठजङ्घादन्तकर्णशृङ्गाच्च	And the feminine ङीष् comes optionally after compounds ending with 1. नासिका 'a nose' 2. उदर 'belly' 3. ओष्ठ 'lip' 4. जंघा 'leg' 5. दन्त 'tooth' 6. कर्ण 'ear' and 7. शृङ्ग 'horn'.<br><br>Terms: विभक्ति-ङीष्
4.1.056|4.1.056 न क्रोडादिबह्वचः	The feminine affix ङीष् does not come after a प्रातिपदिक (Nominal Stem) which denoting a part of the body, belongs to the class क्रोडा 'the flank' etc., of a horse', nor when the word is a stem of more than two syllables.<br><br>Terms: विभक्ति-ङीष्
