धातुः	सङ्ख्या	अर्थः	गणादिः	सेट्त्वम्	सकर्मकता	पदप्रकारः	धातुसादृश्यम्	क्त्वान्ताः	तुम्	शिष्टोक्तिः
णिजिर्	६७३	णिजिर् शौचपोषणयोः	३-जुहोत्यादिः-१०९३। सक। अनि। उभ।	अनि	सक	उभ		निक्त्वा, नेजयित्वा, निनिक्षित्वा, नेनिजित्वा	नेक्तुम्, नेजयितुम्, निनिक्षितुम्, नेनिजितुम्	‘निङ्क्ते, नेनेक्ति नेनिक्ते शौचेऽर्थे पोषणे तथा।।’ (श्लो। ६३) इति देवः। नेजकः-  निर्णेजकः-जिका, नेजकः-जिका,  निनिक्षकः-क्षिका, नेनिजकः-जिका;   नेक्ता-त्री, नेजयिता-त्री, निनिक्षिता-त्री,  प्रणेनिजिता-त्री;   नेनिजत्  -ती, नेजयन्-न्ती, निनिक्षन्-न्ती;  -- नेक्ष्यन्-न्ती-ती, नेजयिष्यन्-न्ती-ती, निनिक्षिष्यन्-न्ती-ती;  -- नेनिजानः, नेजयमानः, निनिक्षमाणः, नेनिज्यमानः;  नेक्ष्यमाणः, नेजयिष्यमाणः, निनिक्षिष्यमाणः, नेनिजिष्यमाणः;  सुनिक्-सुनिग्-सुनिजौ-सुनिजः;  -- -- निक्तम्-क्तः-क्तवान्, नेजितः, निनिक्षितः, नेनिजितः-तवान्;   निजः, नेजः, निनिक्षुः, नेनिजः;  नेक्तव्यम्, नेजयितव्यम्, निनिक्षितव्यम्, नेनिजितव्यम्;  नेजनीयम्, नेजनीयम्, निनिक्षणीयम्, नेनिजनीयम्;    नेग्यम्, नेज्यम्, निनिक्ष्यम्, नेनिज्यम्;  ईषन्नेजः-दुर्नेजः-सुनेजः;  -- -- निज्यमानः, नेज्यमानः, निनिक्ष्यमाणः, नेनिज्यमानः;  नेगः, नेजः, निनिक्षः, नेनिजः;  नेक्तुम्, नेजयितुम्, निनिक्षितुम्, नेनिजितुम्;  निक्तिः, नेजना, निनिक्षा, नेनिजा;  नेजनम्, नेजनम्, निनिक्षणम् नेनिजनम्;  निक्त्वा, नेजयित्वा, निनिक्षित्वा, नेनिजित्वा;  प्रणिज्य, प्रणेज्य, प्रणिनिक्ष्य, प्रणेनिज्य;  नेजम् २, निक्त्वा २, नेजम् २, नेजयित्वा २, निनिक्षम् २, निनिक्षित्वा २, नेनिजम् २;  नेनिजित्वा २।
णिदि	६७४	णिदि कुत्सायाम्	१-भ्वादिः-६६। सक। सेट्। पर।	से	सक	पर	६०४			‘कुत्सायां सन्निकर्षे वा, कुत्सामात्रे तु निन्दति।।’ (श्लो ११४) इति देवः।  प्रणिन्दकः-प्रनिन्दकः-न्दिका, निन्दकः-न्दिका, निनिन्दिषकः-षिका, नेनिन्दकः-न्दिका;  निन्दिता-त्री, निन्दयिता-त्री, निनिन्दिषिता-त्री, नेनिन्दिता-त्री;  निन्दितम्-तः-तवान्,  निन्दकः , इत्यादीनिसर्वाण्यपि रूपाणि भौवादिक, जिन्वतिवत् (६०४) ज्ञेयानि।
णिदृ	६७५	णिदृ कुत्सासन्निकर्षयोः	१-भ्वादिः-८७१। सक। सेट्। उभ।	से	सक	उभ	१९०			‘प्रत्येकं निदिनेद्योः स्तां नेदते नेदतीत्युभे। कुत्सायां सन्निकर्षे वा, कुत्सामात्रे तु निन्दति।।’ (श्लो। ११४) इति देवः। प्रणेदकः-दिका, नेदकः-दिकाः, निनिदिषकः-निनेदिषकः-षिका नेनिदकः-दिका;  नेदिता-त्री, नेदयिता, त्री निनिदिषिता-निनेदिषिता-त्री, नेनिदिता-त्री;    निद्यमानः, इत्यादीनि सर्वाण्यपि रूपाणि भौवादिककिटतिवत् (१९०) ज्ञेयानि। अस्य धातोरूभयपदित्वात् नेदमानः, नेदयमानः, निनिदिषमाणः, निनेदिषमाणः, नेदिष्यमाणः, निनिदिषिष्यगाणः-निनेदिषिष्यमाणः;  इति शानजन्तानि रूपाण्यधिकानीति विशेषः।
णिल	६७६	णिल गहने	६-तुदादिः-१३६०। अक। सेट्। पर।	से	अक	पर	१९३			नेलकः-प्रणेलकः-लिका, नेलकः-लिका, निनिलिषकः-निनेलिषकः-षिका, नेनिलकः-लिका;   निलितम्-तः-तवान्, इत्यादीनि सर्वाण्यपि रूपाणि तौदादिककिलतिवत् (१९३) ज्ञेयानि।
णिवि	६७७	णिवि सेचने	१-भ्वादिः-५९०। सक। सेट्। पर।	से	सक	पर	६०४			‘सेवने’ इति तरङ्गिण्याम्। ‘स्रंसने’ इति मैत्रेयः। प्रणिन्वकः-  निन्वकः-न्विका, निन्वकः-न्विका, निनिन्विषकः-षिका, नेनिन्वकः-न्विका;  इत्यादीनि सर्वाण्यपि रूपाणि भौवादिकजिन्वतिवत् (६०४) ज्ञेयानि।
णिश	६७८	णिश समाधौ	१-भ्वादिः-७२२। अक। सेट्। पर।	से	अक	पर	१९०			प्रणेशकः-शिका, नेशकः-शिका, निनिशिषकः-निनेशिषकः-षिका, नेनिशकः-शिका, इत्यादीनि सर्वाण्यपि रूपाणि भौवादिककिटतिवत् (१९०) ज्ञेयानि। निट्-निशौ-निशः, निशा,  इत्यस्याधिकानि रूपाणीति विशेषः।
णिसि	६७९	णिसि चुम्बने	२-अदादिः-१०२५। सक। सेट्। आत्म।	से	सक	आत्म	६०४			प्रणिंसकः-प्रनिंसकः-सिका, निंसकः-सिका, निनिंसिषकः-षिका,  नेनिंसकः-सिका;   रमोष्ठनिंसी-  इत्यादीनि सर्वाण्यपि रूपाणि भौवादिक- जिन्वतिवत् (६०४) ज्ञेयानि।
णीङ्	६८०	णीङ् प्रापणे	१-भ्वादिः-९०१। सक। अनि। उभ।	अनि	सक	उभ		नीत्वा, नाययित्वा, निनीषित्वा, नेनीयित्वा	नेतुम्, नाययितुम्, निनीषितुम्, नेनीयितुम्	प्रापणम् = आसादनम्। नायकः-  परिणायकः-यिका, नायकः-यिका,  निनीषकः-षिका-नेनीयकः-यिका;  नेता-त्री,  दुरितापनेत्री, नाययिता-त्री, निनीषिता-त्री;  अनुनयन्-न्ती,   विनयन्, नाययन्-न्ती, निनीषन्-न्ती;  -- नेष्यन्-न्ती-ती, नाययिष्यन्-न्ती-ती, निनीषिष्यन्-न्ती-ती;    नयमानः,   नयमानः,  उन्नयमानः,   उपनयमानः- नयमानः,  उपनयमानः,  विनयमानः,  विनयमानः,   विनयमानः, नाययमानः, निनीषमाणः, नेनीयमानः;  नेष्यमाणः, नाययिष्यमाणः, निनीषिष्यमाणः, नेनीयिष्यमाणः;   अग्रणीः, ग्रामणीः-ग्रामण्यौ-ग्रामण्यः,  तिथिप्रणीः, सेनानीः ;  -- नीतः-नीतम्-नीतवान्, नायितः, निनीषितः, नेनीयितः-तवान्;   नायः, अनुनयः-नयः,  उष्ट्रप्रणायः-  नेष्टा-नेता,  नेत्रम्,  अनुनायकः, अनुनायिका, नायः, निनीषुः, अनुनिनीषुः,   नेन्यः;  नेतव्यः, नाययितव्यः, निनीषितव्यः, नेनीयितव्यः;  नयनीयः, नायनीयः निनीषणीयः, नेनीयनीयः;   नेयम्-  विनीयः- विनेयः,  आनाय्यः  आनेयः ,  प्रणाय्यः  , प्रणेयः,  सान्नाय्यम् , नाय्यम्, निनीष्यम्, नेनीय्यम्;  -- -- ईषन्नयः-  दुर्नयः-सुनयः;  -- -- -- नीयमानः, नाय्यमानः, निनीष्यमाणः, नेनीय्यमानः;   नायः, निर्णयः-दुर्नयः-प्रणयः-सुनयः-अनुनयः-विनयः-उपनयः,  नयः, उन्नयः,  अवनायः-उन्नायः,  परिणायः-परिणयः,  आनायः , नायः, निनीषः, नेनीयः;  नेतुम्, नाययितुम्, निनीषितुम्, नेनीयितुम्;  नीतिः, नायना, निनीषा, नेनीया;   नयनम्, नायनम्, निनीषणम्, नेनीयनम्;  नीत्वा, नाययित्वा, निनीषित्वा, नेनीयित्वा;  प्रणीय, प्रणाय्य, प्रणिनीष्य, प्रणेनीय्य;  नायम् २, नीत्वा २, नायम् २, नाययित्वा २, निनीषम् २, निनीषित्वा २, नेनीयम् २;  नेनीयित्वा २।  ना, नेमः,  नीरम्।
णील	६८१	णील वर्णे	१-भ्वादिः-५२२। अक। सेट्। पर।	से	अक	पर	१९५			‘वर्णे = वर्णोपलक्षितायां क्रियायाम्। यथा-- ‘श्वेतं नीलति मरकतकान्त्या’। इति क्षीरस्वामी। नीलकः-लिका, नीलकः-लिका, निनीलिषकः-षिका, नेनीलकः-लिका;  प्रणीलिता, नीलः  नीली-नीला, इत्यादीनि सर्वाण्यपि रूपाणि भौवादिक- कीलतिवत् (१९५) ज्ञेयानि।
णीव	६८२	णीव स्थौल्ये	१-भ्वादिः-५६६। अक। सेट्। पर।	से	अक	पर	६०६			प्रणीवकः-विका, नीवकः-विका, निनीविषकः-षिका, नेनीवकः-विका;  नीवः,  नीविः-नीवी, इत्यादीनि सर्वाण्यपि रूपाणि भौवादिकजीवतिवत् (६०६) ज्ञेयानि।
णु	६८३	णु स्तुतौ	२-अदादिः-१०३५। सक। सेट्। पर।	से	सक	पर		नुत्वा, नावयित्वा, नुनूषित्वा, नुनावयिषित्वा, नोनूयित्वा	नवितुम्, नावयितुम्, नुनूषितुम्, नुनावयिषितुम्, नोनूयितुम्	‘--स्तुत्यां नुवति, नौति वा।।’ (श्लो। २४) इति देवः। नावकः-विका, नावकः-विका,  नुनूषकः-षिका,  नुनावयिषकः-षिका,  नोनूयकः-यिका;   नविता-त्री, नावयिता-त्री, नुनूषिता-त्री, नुनावयिषिता-त्री, नोनूयिता-त्री;   नुवन्-नुवती, नावयन्-न्ती, नुनूषन्-न्ती, नुनावयिषन्-न्ती;  -- नविष्यन्-न्ती-ती, नावयिष्यन्-न्ती-ती, नुनूषिष्यन्-न्ती-ती, नुनावयिषिष्यन्-न्ती-ती;  --  अनुवानः- , नावयमानः,  आनुनूषमाणः, नुनावयिषमाणः, नोनूयमानः;  आनविष्यमाणः, नावयिष्यमाणः, आनुनूषिष्यमाणः, नुनावयिषिष्यमाणः, नोनूयिष्यमाणः;   संनुत्-संनुतौ-संनुतः;  -- -- -- --  नुतः-नुतम्-नुतवान्, नावितः, नुनूषितः, नुनावयिषितः, नोनूयितः-तवान्;   नावः, संनावी, नावः, नुनूषुः, नुनावयिषुः,  नोनुवः;  नवितव्यम्, नावयितव्यम्, नुनूषितव्यम्, नुनावयिषितव्यम्, नोनूयितव्यम्;  नवनीयम्;  नावनीयम्, नुनूषणीयम्, नुनावयिषणीयम्, नोनूयनीयम्;   नव्यम्-अवश्यनाव्यम्, नाव्यम्, नुनूष्यम्, नुनावयिष्यम्, नोनूय्यम्;  ईषन्नवः-दुर्नवः-सुनवः;  -- -- -- नूयमानः, नाव्यमानः, नुनूष्यमाणः, नुनावयिष्यमाणः, नोनूय्यमानः;   नवः-प्रणवः, नावः, नुनूषः, नुनावयिषः, नोनूयः, नवितुम्, नावयितुम्, नुनूषितुम्, नुनावयिषितुम्, नोनूयितुम्;  नुतिः, नावना, नुनूषा, नुनावयिषा, नोनूया;  नवनम्, नावनम्, नुनूषणम्, नुनावयिषणम्, नोनूयनम्;  नुत्वा, नावयित्वा, नुनूषित्वा, नुनावयिषित्वा, नोनूयित्वा;  प्रणुत्य, प्रणाव्य, प्रणुनूष्य, प्रणुनावयिष्य, प्रणोनूय्य;  नावम् २, नुत्वा २, नावम् २, नावयित्वा २, नुनूषम् २, नुनूषित्वा २, नुनावयिषम् २, नुनावयिषित्वा, नोनूयम्;  नोनूयित्वा।
णुद	६८४	णुद प्रेरणे	६-तुदादिः-१२८२। सक। अनि। उभ।	अनि	सक	उभ		नुत्त्वा, नोदयित्वा, नुनुत्सित्वा, नोनुदित्वा	नोत्तुम्, नोदयितुम्, नुनुत्सितुम्, नोनुदितुम्	नोदकः-दिका, नोदकः-दिका,  नुनुत्सकः-त्सिका, नोनुदकः-दिका;   नोत्ता-त्री, नोदयिता-त्री, नुनुत्सिता-त्री, नोनुदिता-त्री;    नुदन् ती-न्ती, नोदयन्-न्ती, नुनुत्सन्-न्ती;  -- नोत्स्यन्-न्ती-ती, नोदयिष्यन्-न्ती-ती, नुनुत्सिष्यन्-न्ती-ती;  -- नुदमानः,  प्रणुदमानः, नोदयमानः, नुनुत्समानः, नोनुद्यमानः;  नोत्स्यमानः, नोदयिष्यमाणः, नुनुत्सिष्यमाणः, नोनुदिष्यमाणः;  अपनुत्-अपनुद्-अपनुदौ-अपनुदः;  -- --  नुन्नः-नुत्तः-  प्रणुन्नम्-नुत्तम्-नुन्नम्-नुन्नवान्-नुत्तवान्, नोदितः, नुनुत्सितः, नोनुदितः-तवान्;   नुदः,  शोकापनुदः,   शोकापनोदः, विनोदी, नोदः,  नुनुत्सुः, नोनुदः;  नोत्तव्यम्, नोदयितव्यम्, नुनुत्सितव्यम्, नोनुदितव्यम्;  नोदनीयम्, नोदनीयम्, नुनुत्सनीयम्, नोनुदनीयम्;  नोद्यम्, नोद्यम्, नुनुत्स्यम्, नोनुद्यम्;  ईषन्नोदः-दुर्नोदः-सुनोदः;  -- -- नुद्यमानः, नोद्यमानः, नुनुत्स्यमानः, नोनुद्यमानः;  नोदः-विनोदः,  काकुदः , नुनुत्सः, नोनुदः;   नोत्तुम्, नोदयितुम्, नुनुत्सितुम्, नोनुदितुम्;  नुत्तिः, नोदना, नुनुत्सा, नोनुदा;  नोदनम्, नोदनम्, नुनुत्सनम्, नोनुदनम्;  नुत्त्वा, नोदयित्वा, नुनुत्सित्वा, नोनुदित्वा;  प्रणुद्य, प्रणोद्य, प्रणुनुत्स्य, प्रणोनुद्य;  नोदम् २, नुत्त्वा २, नोदम् २, नोदयित्वा २, नुनुत्सम् २, नुनुत्सित्वा २, नोनुदम् २;  नोनुदित्वा २;   नौः।
णुद	६८५	णुद प्रेरणे	६-तुदादिः-१४२६। सक। अनि। पर।	अनि	सक	पर	६८४			नोदकः-दिका, नोदकः-दिका, नुनुत्सकः-त्सिका, नोनुदकः-दिका;  इत्यादीनि सर्वाण्यपि रूपाणि पूर्वलिखिततौदादिकनुदतिवत् (६८४) ज्ञेयानि। अस्य घातोः परस्मैपदिषु पाठात् शानच्प्रत्ययो न भवति। तुदादावेव पुनः पाठफलं तु--कर्तृगामिन्यपि क्रियाफले परस्मैपदित्वमिति बोध्यम्।
णू	६८६	णू स्तवने	६-तुदादिः-१३९७। सक। सेट्। पर।	से	सक	पर	६८३	नूत्वा	नुवितुम्	कुटादिः। ‘--स्तुत्यां नुवति, नौति वा।।’ (श्लो। २४) इति देवः। नावकः-विका,  नुविता-त्री, नुवन्-ती-न्ती, नुविष्यन्-न्ती-ती, प्रणूः,  प्रण्वौ-प्रण्वः,  नूतम्-नूतः-नूतवान्, नुवः, नुवितव्यम्, नुवनीयम्, नव्यम्,  अवश्यनाव्यम्, ईषन्नुवः-दुर्नुवः-सुनुवः, नूयमानः, नुवः-नुवितुम्,   नूतिः, नुवनम्, नूत्वा, प्रणूय, नावम् २ नूत्वा २ इति शुद्धाद्धातो रूपाणि। ण्यन्तात्, सन्नन्तात् यङन्ताच्च क्रमेण नावकः-विका, नुनूषकः, षिका, नोनूयकः-यिका;  इत्यादीनि रूपाणि आदादिकनौतिवत् (६८३) ज्ञेयानि।
णेदृ	६८७	णेदृ कुत्सासन्निकर्षयोः	१-भ्वादिः-८७२। सक। सेट्। उभ।	से	सक	उभ	२६१			‘प्रत्येकं निदिनेद्योः स्तां नेदते नेदतीत्युभे। कुत्सायां सन्निकर्षे वा, कुत्सामात्रे तु निन्दति।।’ (श्लो। ११४) इति देवः। प्रणेदकः-दिका, नेदकः-दिका, निनेदिषकः-षिका, नेनेदकः-दिका;   नेदितः इत्यादीनि सर्वाण्यपि रूपाणि भौवादिककेपतिवत् (२६१) ज्ञेयानि। अस्य धातोः उभयपदित्वात् नेदन्-न्ती नेदिष्यन्-न्ती-ती, इत्यादीनि रूपा- ण्यधिकानि इति विशेषः।
णेषृ	६८८	णेषृ गतौ	१-भ्वादिः-६१७। सक। सेट्। आत्म।	से	सक	आत्म	२६१			प्रणेषकः-षिका, नेषकः-षिका, निनेषिषकः-षिका, नेनेषकः-षिका;   नेषितः इत्यादीनि सर्वाण्यपि रूपाणि भौवादिककेपतिवत् (२६१) ज्ञेयानि। क्विपि प्रणेट्-प्रणेड्-प्रणेषौ-प्रणेषः इति रूपाण्यस्येति विशेषः।
तक	६८९	तक हसने	१-भ्वादिः-११७। अक। सेट्। पर।	से	अक	पर	१३९			‘तकेत् तङ्केद् यथासंख्यं हसने कृच्छ्रजीवने।।’ (श्लो। ४३) इति देवः। ताककः-किका, ताककः-किका, तितकिषकः-षिका, तातककः-किका;  इत्यादीनि सर्वाण्यपि रूपाणि भौवादिकककतिवत् (१३९) ज्ञेयानि। अस्य धातोः परस्मैपदित्वात् तकन्-न्ती, तकिष्यन्-न्ती-ती, तितकिषन्-न्ती-ती, तितकिषिष्यन्-न्ती-ती;  इति शतरि रूपाणि भवन्तीति विशेषः।  तक्यम्,  व्यतितकन्-न्ती।
तकि	६९०	तकि कृच्छ्रजीवने	१-भ्वादिः-११८। अक। सेट्। पर।	से	अक	पर	१६३			‘तकेत् तङ्केद् यथासंख्यं हसने, कृच्छ्रजीवने।।’ (श्लो। ४३) इति देवः। तङ्ककः-ङ्किका, तङ्ककः-ङ्किका, तितङ्किषकः-षिका, तातङ्ककः-ङ्किका;   तङ्कन्-न्ती, इत्यादीनि सर्वाण्यपि रूपाणि भौवादिककन्दतिवत् (१६३) ज्ञेयानि।
तक्ष	६९१	तक्ष त्वचने	१-भ्वादिः-६६५। सक। सेट्। पर।	से	सक	पर		तक्षित्वा, तक्षयित्वा, तितक्षिषित्वा, तातक्षित्वा	तक्षितुम्, तक्षयितुम्, तितक्षिषितुम्, तातक्षितुम्	‘त्वचनम् = संवरणम्, त्वचो ग्रहणं च’ इति सिद्धान्तकौमुदी। ‘ग्रहणमात्रे च’ इति द्रुमे।’ इति धातुकाव्यव्याख्याने (१-८४)। ‘स्यात् तक्षतीति त्वचनेऽथ वा श्नौ तक्ष्णोति तक्षेच्च तनूक्रियायाम्।’ (श्लो। १८३) इति देवः। तक्षकः-क्षिका, तक्षकः-क्षिका, तितक्षिषकः-षिका, तातक्षकः-क्षिका;  तक्षिता-त्री, तक्षयिता-त्री, तितक्षिषिता-त्री, तातक्षिता-त्री;  तक्षन्-न्ती, तक्षयन्-न्ती, तितक्षिषन्-न्ती;  -- तक्षिष्यन्-न्ती-ती, तक्षयिष्यन्-न्ती-ती, तितक्षिषिष्यन्-न्ती-ती;  -- -- तक्षयमाणः, तक्षयिष्यमाणः, -- तातक्ष्यमाणः, तातक्षिष्यमाणः;   तट्-तड्-तक्षौ-तक्षः;  -- -- --  तक्षितः-तम्, तक्षितः, तितक्षिषितः, तातक्षितः-तवान्;  तक्षः, तक्षः, तितक्षिषुः, तातक्षः;  तक्षितव्यम्, तक्षयितव्यम्, तितक्षिषितव्यम्, तातक्षितव्यम्;  तक्षणीयम्, तक्षणीयम्, तितक्षिषणीयम्, तातक्षणीयम्;  तक्ष्यम्, तक्ष्यम्, तितक्षिष्यम्, तातक्ष्यम्;  ईषत्तक्षः-दुस्तक्षः-सुतक्षः;  -- -- तक्ष्यमाणः, तक्ष्यमाणः, तितक्षिष्यमाणः, तातक्ष्यमाणः;  तक्षः, तक्षः, तितक्षिषः, तातक्षः;  तक्षितुम्, तक्षयितुम्, तितक्षिषितुम्, तातक्षितुम्;   तक्षा, तक्षणा, तितक्षिषा, तातक्षा;  तक्षणम्, तक्षणम्, तितक्षिषणम्, तातक्षणम्;  तक्षित्वा, तक्षयित्वा, तितक्षिषित्वा, तातक्षित्वा;  सन्तक्ष्य, सन्तक्ष्य, सन्तितक्षिष्य, सन्तातक्ष्य;  तक्षम् २, तक्षित्वा २, तक्षम् २, तक्षयित्वा २, तितक्षिषम् २, तितक्षिषित्वा २, तातक्षम् २;  तातक्षित्वा २।
तक्षू	६९२	तक्षू तनूकरणे	१-भ्वादिः-६५५। सक। वेट्। पर।	अनि	सक	पर		तक्षित्वा, तष्ट्वा, तक्षयित्वा, तितक्षिषित्वा, तितक्षित्वा, तातक्षित्वा	तक्षितुम्, तक्षयितुम्, तितक्षिषितुम्, तितक्षितुम्, तातक्षितुम्	‘तनूकरणम् = स्थूलस्य काष्ठादेः कतिपयावयवापनयनेन सूक्ष्मीकरणम्’ इति बालमनोरमा।। ‘स्यात् तक्षतीति त्वचनेऽथ वा श्नौ तक्ष्णोति तक्षेच्च तनूक्रियायाम्।’ (श्लो। १८३) इति देवः। तक्षकः-क्षिका, तक्षकः-क्षिका, तितक्षिषकः-  तितक्षकः-क्षिका, तातक्षकः-क्षिका;   तक्षिता-त्री-तष्टा-ष्ट्री, तक्षयिता-त्री, तितक्षिषिता-तितक्षिता-त्री, तातक्षिता-त्री;    तक्ष्णुवन्-ती, तक्षन्-न्ती, तक्षयन्-न्ती, तितक्षिषन्-तितक्षन्-न्ती;  -- तक्षिष्यन्-तक्ष्यन्-न्ती-ती, तक्षयिष्यन्-न्ती-ती, तितक्षिषिष्यन्-तितक्षिष्यन्-न्ती-ती;  -- -- तक्षयमाणः, तक्षयिष्यमाणः, -- तातक्ष्यमाणः, तातक्षिष्यमाणः;   तट्-तड्-तक्षौ-तक्षः;  -- -- --  तष्टम्-तष्टः-तष्टवान्, तक्षितः, तितक्षिषितः-तितक्षितः, तातक्षितः-तवान्;  तक्षः, तक्षः, तितक्षिषुः-तितक्षुः, तातक्षः;  तक्षितव्यम्-तष्टव्यम्, तक्षयितव्यम्, तितक्षिषितव्यम्-तितक्षितव्यम्, तातक्षितव्यम्;  तक्षणीयम्, तक्षणीयम्, तितक्षिषणीयम्-तितक्षणीयम्, तातक्षणीयम्;  तक्ष्यम्, तक्ष्यम्, तितक्षिष्यम्-तितक्ष्यम्, तातक्ष्यम्;  ईषत्तक्षः-दुस्तक्षः-सुतक्षः;  -- -- -- तक्ष्यमाणः, तक्ष्यमाणः, तितक्षिष्यमाणः-तितक्ष्यमाणः, तातक्ष्यमाणः;  तक्षः, तक्षः, तितक्षिषः-तितक्षः, तातक्षः;  तक्षितुम्-तष्टुम्, तक्षयितुम्, तितक्षिषितुम्-तितक्षितुम्, तातक्षितुम्;   तक्षा, तक्षणा, तितक्षिषा-तितक्षा, तातक्षा;   तक्षणम्, तक्षणम्, तितक्षिषणम्-तितक्षणम्, तातक्षणम्;  तक्षित्वा-तष्ट्वा, तक्षयित्वा, तितक्षिषित्वा-तितक्षित्वा, तातक्षित्वा, सन्तक्ष्य, सन्तक्ष्य, सन्तितक्षिष्य-सन्तितक्ष्य, सन्तातक्ष्य;  तक्षम् २, तक्षित्वा २-तष्ट्वा २, तक्षम् २, तक्षयित्वा, तितक्षिषम् २-तितक्षम् २, तितक्षिषित्वा २-तितक्षित्वा २, तातक्षम् २;  तातक्षित्वा २;    तक्षकः,  तक्षा।
तगि	६९३	तगि गत्यर्थः	१-भ्वादिः-१४९। सक। सेट्। पर।	से	सक	पर	१६३			‘तगिः स्खलने रूढः। तङ्गति।’ इति क्षीरस्वामी। तङ्गकः-ङ्गिका, तङ्गकः-ङ्गिका, तितङ्गिषकः-षिका, तातङ्गकः-ङ्गिका;   तङ्गितम्, इत्यादीनि सर्वाण्यपि रूपाणि भौवादिककन्दतिवत् (१६३) ज्ञेयानि।
तट	६९४	तट उच्छ्राये	१-भ्वादिः-३०८। अक। सेट्। पर।	से	अक	पर	१४८			‘नगाद्यारोह उच्छ्रायः--’ इत्यमरः। ताटकः-टिका, ताटकः-टिका, तितटिषकः-षिका, तातटकः-टिका;  इत्यादीनि सर्वाण्यपि रूपाणि भौवादिककठतिवत् (१४८) ज्ञेयानि। तटः-  तटी, इति विशेषः।
तड	६९५	तड आघाते	१०-चुरादिः-१५७९। सक। सेट्। उभ।	से	सक	उभ	३८८			‘शोभार्थश्च द्रुमे।’ इति धा। का। व्याख्याने (३-१८)। ताडकः-डिका, तिताडयिषकः-षिका, इत्यादीनि सर्वाण्यपि रूपाणि चौरादिकगालयतिवत् (३८८) ज्ञेयानि। अस्य धातोरुभयपदित्वात् ताडयन्-न्ती, तिताडयिषन्-न्ती, ताडयिष्यन्-न्ती-ती, तिताडयिषिष्यन्-न्ती-ती, इति रूपाण्यधिकानीति विशेषः।  सन्ताडनम्। सन्ताडितः।  तण्डुलः।
तड	६९६	तड भाषार्थः	१०-चुरादिः-१८०२। सक। सेट्। उभ। आस्वदीयः।	से	सक	उभ	३८८			ताडकः-डिका, तिताडयिषकः-षिका;  इत्यादीनि सर्वाण्यपि रूपाणि चौरादिकगालयतिवत् (३८८) ज्ञेयानि। अस्य धातोरास्वदीयत्वेन ‘आस्वदः सकर्मकात्’ (ग। सू। चुरादौ) इत्यनेन सकर्मकादेव णिज् भवति। अकर्मकत्वे तु भ्वादिपाठेन परस्मैपदमेवेति ज्ञेयम्।
तडि	६९७	तडि ताडने	१-भ्वादिः-२८०। सक। सेट्। आत्म।	से	सक	आत्म	१४९			ताडनम् = निरसनम्। तण्डकः-ण्डिका, तण्डकः-ण्डिका, तितण्डिषकः-षिका, तातण्डकः-ण्डिका;  इत्यादीनि सर्वाण्यपि रूपाणि भौवादिककण्ठतिवत् (१४९) ज्ञेयानि।  वतण्डः,  वितण्डा, वैतण्डिकः।
तत्रि	६९८	तत्रि कुटुम्बधारणे	१०-चुरादिः-१६७९। अक। सेट्। आत्म।	से	अक	आत्म		तन्त्रयित्वा, तितन्त्रयिषित्वा	तन्त्रयितुम्, तितन्त्रयिषितुम्	आकुस्मीयः। तन्त्रकः-न्त्रिका, तितन्त्रयिषकः-षिका;  तन्त्रयिता-त्री तितन्त्रयिषिता-त्री;   तन्त्रयमाणः, तितन्त्रयिषमाणः;  तन्त्रयिष्यमाणः, तितन्त्रयिषिष्यमाणः;   तन्-तन्त्रौ-तन्त्रः;  -- -- -- तन्त्रितः, तितन्त्रयिषितः-तवान्;  तन्त्रः, स्वतन्त्रः, तितन्त्रयिषुः;  तन्त्रयितव्यम्, तितन्त्रयिषितव्यम्;  तन्त्रणीयम्, तितन्त्रयिषणीयम्;  तन्त्र्यम्, तितन्त्रयिष्यम्;  ईषत्तन्त्रः-दुस्तन्त्रः-सुतन्त्रः;  -- तन्त्र्यमाणः, तितन्त्रयिष्यमाणः;  तन्त्रः, तन्त्रम्, तितन्त्रयिषः;  तन्त्रयितुम्, तितन्त्रयिषितुम्;  तन्त्रणा, तितन्त्रयिषा;    तन्त्रणम्, तितन्त्रयिषणम्;  तन्त्रयित्वा, तितन्त्रयिषित्वा;  प्रतन्त्र्य, प्रतितन्त्रयिष्य;  तन्त्रम् २, तन्त्रयित्वा २, तितन्त्रयिषम् २;  तितन्त्रयिषित्वा २;   तन्त्रीः।
